Orthogroup	Species	Texas_F1_protein	Orthologs
OG0003133	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G28429.1	3755_0_0050d3
OG0003133	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G28429.1	VVA36950, VVA36948, VVA36949
OG0003134	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G28434.1	VVA36957, VVA40795
OG0003134	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G28434.1	3755_0_0054f6, 3755_0_005568
OG0003135	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G28433.1	VVA40794, VVA36956
OG0003135	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G28433.1	3755_0_00548d, 3755_0_005524
OG0003136	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G28426.1	3755_0_004e36, 3755_0_005195
OG0003136	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G28426.1	VVA36944, VVA36945
OG0003137	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G22621.1	VVA36971, VVA41864
OG0003137	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G22621.1	3755_0_0059f0, 3755_0_0042b3
OG0003138	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G14796.1, TexasF1_G15231.1, TexasF1_G24254.1	VVA37015
OG0003138	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G14796.1, TexasF1_G15231.1, TexasF1_G24254.1	3755_0_002dae
OG0003139	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G22138.1	VVA37051, VVA37624
OG0003139	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G22138.1	3755_0_003d50, 3755_0_00408a
OG0003140	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G22150.1	3755_0_003ae4
OG0003140	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G22150.1	VVA37061, VVA40562, VVA41568
OG0003141	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G22139.1	VVA37625, VVA37052
OG0003141	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G22139.1	3755_0_004407, 3755_0_004144
OG0003142	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G1461.1	VVA38720, VVA37181
OG0003142	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G1461.1	3755_0_005736, 3755_0_000c68
OG0003143	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G12150.1	VVA37239, VVA39800
OG0003143	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G12150.1	3755_0_00250c, 3755_0_002217
OG0003145	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G21679.1	3755_0_004097
OG0003145	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G21679.1	VVA37290, VVA37289, VVA37288
OG0003146	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G6839.1	3755_0_00151b
OG0003146	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G6839.1	VVA37369, VVA37370, VVA37368
OG0003147	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G16882.1	VVA37473, VVA39506
OG0003147	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G16882.1	3755_0_0043a6, 3755_0_003030
OG0003148	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G23394.1	3755_0_004116
OG0003148	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G23394.1	VVA37459, VVA37458, VVA37457
OG0003149	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G27986.1	VVA37513, VVA39612
OG0003149	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G27986.1	3755_0_0010a5, 3755_0_005026
OG0003150	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G2918.1	3755_0_000cd1
OG0003150	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G2918.1	VVA37524, VVA37523, VVA37522
OG0003151	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G24575.1	3755_0_004ab3
OG0003151	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G24575.1	VVA37549, VVA37547, VVA37548
OG0003152	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G24576.1	3755_0_0048bd
OG0003152	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G24576.1	VVA37550, VVA37552, VVA37551
OG0003153	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G17067.1	VVA38638, VVA37573
OG0003153	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G17067.1	3755_0_002f72, 3755_0_002e43
OG0003154	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G11729.1	VVA37599
OG0003154	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G11729.1	3755_0_002374
OG0003154	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G11739.1	VVA37598
OG0003155	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G27884.1	VVA37632, VVA37727
OG0003155	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G27884.1	3755_0_0051a3, 3755_0_004e21
OG0003156	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G12052.1	VVA39657, VVA37658
OG0003156	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G12052.1	3755_0_003ae8, 3755_0_0057a1
OG0003157	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G11232.1	VVA37687, VVA41143
OG0003157	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G11232.1	3755_0_00233f, 3755_0_0058d0
OG0003158	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G20106.1	3755_0_00404d
OG0003158	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G20106.1	VVA37710, VVA37711, VVA37712
OG0003159	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G11111.1	3755_0_001e07
OG0003159	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G11111.1	VVA37750, VVA37751, VVA37752
OG0003160	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G2323.1	3755_0_000607
OG0003160	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G2327.1	3755_0_0056fd
OG0003160	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G2327.1	VVA37770
OG0003161	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G11680.1	VVA37785, VVA37786
OG0003161	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G11680.1	3755_0_0023fc, 3755_0_001d6f
OG0003162	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G15794.1	3755_0_00271c
OG0003162	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G15794.1	VVA37831, VVA37830, VVA37832
OG0003163	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G20649.1	3755_0_0040aa
OG0003163	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G20648.1	VVA37849
OG0003163	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G20648.1	3755_0_005701
OG0003164	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G21793.1, TexasF1_G21785.1, TexasF1_G21806.1	VVA37855
OG0003164	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G21793.1, TexasF1_G21785.1, TexasF1_G21806.1	3755_0_004345
OG0003165	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G4150.1, TexasF1_G17818.1, TexasF1_G17819.1	VVA37866
OG0003165	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G4150.1, TexasF1_G17818.1, TexasF1_G17819.1	3755_0_0030e4
OG0003166	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G28177.1	VVA37900, VVA41252
OG0003166	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G28177.1	3755_0_00533e, 3755_0_004e45
OG0003167	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G28176.1	VVA41251, VVA37899
OG0003167	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G28176.1	3755_0_004fee, 3755_0_005288
OG0003168	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G8848.1	3755_0_001383
OG0003168	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G3056.1	VVA37954
OG0003168	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G3056.1	3755_0_0059c0
OG0003169	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G12705.1	VVA37968, VVA39194
OG0003169	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G12705.1	3755_0_002507, 3755_0_0021ea
OG0003170	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G8290.1	3755_0_0017d0
OG0003170	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G8290.1	VVA37985, VVA37984, VVA37986
OG0003171	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G27002.1	3755_0_004e37
OG0003171	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G27001.1	3755_0_005473
OG0003171	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G27001.1	VVA37999
OG0003172	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G16259.1	VVA38025, VVA41572
OG0003172	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G16259.1	3755_0_002c40, 3755_0_002b9f
OG0003174	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G11132.1	VVA38127, VVA38652
OG0003174	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G11132.1	3755_0_005730, 3755_0_0023fe
OG0003175	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G11130.1	VVA38124, VVA38650
OG0003175	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G11130.1	3755_0_00572c, 3755_0_002699
OG0003176	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G11131.1	3755_0_0024a6, 3755_0_00572b
OG0003176	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G11131.1	VVA38651, VVA38126
OG0003177	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G2075.1	3755_0_0004d6
OG0003177	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G2075.1	VVA38144, VVA38145, VVA38143
OG0003178	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G27636.1	3755_0_005103
OG0003178	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G27636.1	VVA41103, VVA41102, VVA38233
OG0003179	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G21780.1	3755_0_00445f, 3755_0_004487
OG0003179	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G21780.1	VVA38352, VVA40270
OG0003180	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G10603.1	3755_0_002215
OG0003180	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G10603.1	VVA38480, VVA38479, VVA38478
OG0003181	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G16253.1	3755_0_002873, 3755_0_002c96
OG0003181	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G16253.1	VVA39792, VVA38508
OG0003182	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G28187.1	VVA38571, VVA40198
OG0003182	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G28187.1	3755_0_004dbb, 3755_0_0057e8
OG0003183	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G7715.1	VVA38594, VVA40710
OG0003183	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G7715.1	3755_0_005865, 3755_0_00191f
OG0003184	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G2436.1	VVA39305, VVA38600
OG0003184	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G2436.1	3755_0_000580, 3755_0_00017b
OG0003185	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G27406.1	VVA40850, VVA38655
OG0003185	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G27406.1	3755_0_0024a2, 3755_0_0025d0
OG0003186	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G16727.1	VVA40898, VVA38680
OG0003186	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G16727.1	3755_0_00588c, 3755_0_002d5e
OG0003187	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G21437.1	VVA38691, VVA40988
OG0003187	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G21437.1	3755_0_003de0, 3755_0_003f77
OG0003188	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G2649.1	3755_0_000e88
OG0003188	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G2649.1	VVA38783, VVA38784, VVA38782
OG0003189	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G1093.1	VVA38839, VVA38841
OG0003189	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G1093.1	3755_0_0003ac, 3755_0_0008f8
OG0003190	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G21973.1	VVA38849, VVA39403
OG0003190	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G21973.1	3755_0_0043b9, 3755_0_003ca9
OG0003191	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G16927.1	3755_0_002f26
OG0003191	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G16927.1	VVA38915, VVA38914, VVA38913
OG0003192	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G739.1	3755_0_002b16, 3755_0_002d21
OG0003192	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G739.1	VVA38958, VVA40788
OG0003193	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G741.1	VVA38954
OG0003193	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G741.1	3755_0_002d27
OG0003193	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G740.1	VVA38953
OG0003194	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G11055.1	3755_0_00119e
OG0003194	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G11055.1	VVA40379, VVA39090, VVA39091
OG0003195	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G1065.1	VVA39144, VVA39334
OG0003195	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G1065.1	3755_0_000645, 3755_0_00004e
OG0003196	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G1454.1	VVA39902, VVA39179
OG0003196	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G1454.1	3755_0_00097b, 3755_0_001033
OG0003197	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G16193.1	3755_0_002b19
OG0003197	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G11841.1	VVA39186
OG0003197	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G11841.1	3755_0_002410
OG0003198	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G24162.1	VVA39222
OG0003198	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G24162.1	3755_0_004559
OG0003198	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G24229.1	VVA39221
OG0003199	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G24325.1	VVA39254, VVA41396
OG0003199	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G24325.1	3755_0_0049d6, 3755_0_005765
OG0003200	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G2439.1	VVA40443, VVA39311
OG0003200	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G2439.1	3755_0_000e94, 3755_0_000e7f
OG0003202	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G11575.1	VVA40853, VVA39428
OG0003202	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G11575.1	3755_0_00209b, 3755_0_005780
OG0003203	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G16797.1	3755_0_002a10
OG0003203	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G16797.1	VVA39476, VVA39478, VVA39477
OG0003204	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G28049.1, TexasF1_G6099.1, TexasF1_G22246.1	VVA39648
OG0003204	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G28049.1, TexasF1_G6099.1, TexasF1_G22246.1	3755_0_0055d2
OG0003205	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G26981.1	VVA39675
OG0003205	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G26981.1	3755_0_00555a
OG0003205	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G26980.1	VVA39674
OG0003206	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G8185.1	VVA39692
OG0003206	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G8185.1	3755_0_0016a7
OG0003206	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G8192.1	VVA39691
OG0003207	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G11894.1	VVA40688, VVA39711
OG0003207	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G11894.1	3755_0_005860, 3755_0_002342
OG0003208	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G2130.1, TexasF1_G2139.1, TexasF1_G2132.1	VVA39716
OG0003208	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G2130.1, TexasF1_G2139.1, TexasF1_G2132.1	3755_0_000080
OG0003209	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G7756.1	VVA39760, VVA39759
OG0003209	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G7756.1	3755_0_0057aa, 3755_0_0057ab
OG0003210	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G22624.1	3755_0_004cbe, 3755_0_005a30
OG0003210	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G22624.1	VVA39780, VVA41814
OG0003211	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G15336.1, TexasF1_G15356.1	VVA39794
OG0003211	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G15336.1, TexasF1_G15356.1	3755_0_002a30, 3755_0_005847
OG0003212	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G12155.1	VVA39802, VVA41141
OG0003212	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G12155.1	3755_0_0021a5, 3755_0_001ff9
OG0003213	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G24344.1, TexasF1_G24537.1, TexasF1_G24524.1	VVA39808
OG0003213	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G24344.1, TexasF1_G24537.1, TexasF1_G24524.1	3755_0_004d82
OG0003214	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G28036.1	VVA39829, VVA40472
OG0003214	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G28036.1	3755_0_005071, 3755_0_005679
OG0003215	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G2861.1	VVA39999, VVA39939
OG0003215	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G2861.1	3755_0_00010c, 3755_0_001119
OG0003216	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G21667.1	VVA40684, VVA39963
OG0003216	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G21667.1	3755_0_00427f, 3755_0_0039fb
OG0003217	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G17928.1	VVA40155
OG0003217	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G21797.1	VVA40154
OG0003217	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G21797.1	3755_0_00436f
OG0003218	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G6889.1	3755_0_001658
OG0003218	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G6892.1	VVA40177
OG0003218	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G6892.1	3755_0_0057e4
OG0003219	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G16266.1, TexasF1_G16267.1	VVA40219
OG0003219	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G16266.1, TexasF1_G16267.1	3755_0_002d88, 3755_0_00277a
OG0003220	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G17717.1	VVA40430, VVA40470
OG0003220	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G17717.1	3755_0_0033f9, 3755_0_00315e
OG0003221	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G1826.1	VVA41451, VVA40452
OG0003221	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G1826.1	3755_0_0002ae, 3755_0_00592c
OG0003222	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G22021.1	VVA41278, VVA40456
OG0003222	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G22021.1	3755_0_004261, 3755_0_00582e
OG0003223	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G11046.1	VVA40810, VVA40534
OG0003223	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G11046.1	3755_0_0001bd, 3755_0_005844
OG0003224	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G13944.1	VVA40546, VVA40547
OG0003224	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G13944.1	3755_0_002738, 3755_0_003024
OG0003225	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G22175.1, TexasF1_G22165.1	3755_0_00418a
OG0003225	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G22175.1	VVA41567
OG0003225	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G22165.1	VVA40561
OG0003227	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G3586.1, TexasF1_G12534.1, TexasF1_G7714.1, TexasF1_G17919.1	VVA40711
OG0003228	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G21070.1	VVA41643
OG0003228	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G21070.1	3755_0_00408b, 3755_0_0039e1, 3755_0_005970
OG0003229	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G18286.1	3755_0_003145
OG0003229	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G18299.1	3755_0_0033ec
OG0003229	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G18299.1	VVA41727
OG0003230	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G21872.1	VVA41758
OG0003230	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G21849.1, TexasF1_G21766.1	VVA41757
OG0003231	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G8294.1	VVA41813
OG0003231	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G8294.1	3755_0_0014dc, 3755_0_005a27, 3755_0_004a03
OG0003232	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G17748.1, TexasF1_G17749.1, TexasF1_G17750.1	VVA41841
OG0003232	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G17748.1, TexasF1_G17749.1, TexasF1_G17750.1	3755_0_0059c9
OG0003233	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G1535.1, TexasF1_G1536.1, TexasF1_G16469.1, TexasF1_G16468.1	3755_0_000b22
OG0003234	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G14065.1	3755_0_003093
OG0003234	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G14099.1, TexasF1_G14067.1	3755_0_002bec
OG0003235	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G15181.1, TexasF1_G15182.1, TexasF1_G15184.1, TexasF1_G15183.1	3755_0_002fa4
OG0003236	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G18676.1	3755_0_00344d
OG0003236	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G18674.1	3755_0_003435, 3755_0_00354e
OG0003237	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G21096.1	3755_0_004328
OG0003237	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G21097.1	3755_0_003edf, 3755_0_00393a
OG0003238	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G26353.1	3755_0_004d36
OG0003238	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G26352.1, TexasF1_G26354.1	3755_0_004a9e
OG0003239	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G29399.1	3755_0_004eed
OG0003239	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G29400.1	3755_0_004c27, 3755_0_0050c1
OG0003240	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G7380.1, TexasF1_G21715.1, TexasF1_G22324.1, TexasF1_G12472.1	3755_0_004fcd
OG0003241	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G28499.1	3755_0_0054b8
OG0003241	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G28502.1, TexasF1_G28506.1	3755_0_00511c
OG0003247	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G18754.1, TexasF1_G25725.1	VVA09553
OG0003247	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G18754.1, TexasF1_G25725.1	3755_0_0049b2
OG0003248	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G25842.1	3755_0_0049b7
OG0003248	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G25842.1	VVA09682, VVA09683
OG0003249	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G25589.1	3755_0_0047cb
OG0003249	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G25589.1	VVA09394, VVA09395
OG0003250	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G25748.1	VVA09584
OG0003250	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G25748.1	3755_0_0047bc, 3755_0_00455c
OG0003251	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G25659.1	3755_0_00483f
OG0003251	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G25659.1	VVA09476, VVA09475
OG0003252	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G26025.1	3755_0_004caa
OG0003252	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G26025.1	VVA09885, VVA09886
OG0003253	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G25615.1	3755_0_004bd9
OG0003253	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G25615.1	VVA09426, VVA09427
OG0003254	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G25658.1	3755_0_004c7d
OG0003254	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G25658.1	VVA09472, VVA09473
OG0003255	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G25989.1	3755_0_004dac
OG0003255	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G25989.1	VVA09842, VVA09843
OG0003256	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G26133.1	3755_0_0047f8
OG0003256	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G26133.1	VVA10019, VVA10018
OG0003257	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G25743.1	3755_0_00495e
OG0003257	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G25743.1	VVA09580, VVA09579
OG0003258	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G26137.1	3755_0_004b8f
