Orthogroup	Species	Compara_Prunus_dulcis.ALMONDv2.pep.all	Orthologs
OG0002117	OrthoDB_Prunus_dulcis_CNAG	VVA11941	3755_0_000141
OG0002118	Texas_F1_protein	VVA16559, VVA11933, VVA16558	TexasF1_G20518.1
OG0002118	OrthoDB_Prunus_dulcis_CNAG	VVA16559, VVA11933, VVA16558	3755_0_0039c8
OG0002119	Texas_F1_protein	VVA12301, VVA12298	TexasF1_G9260.1
OG0002119	OrthoDB_Prunus_dulcis_CNAG	VVA12301	3755_0_001b07
OG0002119	OrthoDB_Prunus_dulcis_CNAG	VVA12298	3755_0_00165d
OG0002120	Texas_F1_protein	VVA25375, VVA12558	TexasF1_G9513.1
OG0002120	OrthoDB_Prunus_dulcis_CNAG	VVA25375	3755_0_0040f0
OG0002120	OrthoDB_Prunus_dulcis_CNAG	VVA12558	3755_0_0017cd
OG0002121	Texas_F1_protein	VVA12465, VVA12466, VVA12464	TexasF1_G9425.1
OG0002121	OrthoDB_Prunus_dulcis_CNAG	VVA12465, VVA12466, VVA12464	3755_0_0019d1
OG0002122	Texas_F1_protein	VVA23107, VVA12446	TexasF1_G9408.1
OG0002122	OrthoDB_Prunus_dulcis_CNAG	VVA23107	3755_0_0039b8
OG0002122	OrthoDB_Prunus_dulcis_CNAG	VVA12446	3755_0_001abb
OG0002123	Texas_F1_protein	VVA12228, VVA12230, VVA12229	TexasF1_G9200.1
OG0002123	OrthoDB_Prunus_dulcis_CNAG	VVA12228, VVA12230, VVA12229	3755_0_0018a1
OG0002124	OrthoDB_Prunus_dulcis_CNAG	VVA35358, VVA12605	3755_0_0015fb
OG0002124	Texas_F1_protein	VVA35358	TexasF1_G3864.1
OG0002124	Texas_F1_protein	VVA12605	TexasF1_G9561.1
OG0002125	Texas_F1_protein	VVA12263, VVA12264	TexasF1_G9232.1
OG0002125	OrthoDB_Prunus_dulcis_CNAG	VVA12263, VVA12264	3755_0_00165c, 3755_0_00135e
OG0002126	Texas_F1_protein	VVA31993, VVA12494, VVA31992	TexasF1_G18203.1
OG0002126	OrthoDB_Prunus_dulcis_CNAG	VVA31993, VVA12494, VVA31992	3755_0_0032ce
OG0002127	Texas_F1_protein	VVA12169, VVA12171, VVA12170	TexasF1_G9111.1
OG0002127	OrthoDB_Prunus_dulcis_CNAG	VVA12169, VVA12171, VVA12170	3755_0_001b63
OG0002128	Texas_F1_protein	VVA12305, VVA20849	TexasF1_G20937.1
OG0002128	OrthoDB_Prunus_dulcis_CNAG	VVA12305	3755_0_001ab1
OG0002128	OrthoDB_Prunus_dulcis_CNAG	VVA20849	3755_0_0041d1
OG0002129	Texas_F1_protein	VVA12300, VVA12297	TexasF1_G9259.1
OG0002129	OrthoDB_Prunus_dulcis_CNAG	VVA12300, VVA12297	3755_0_0012e2, 3755_0_001d45
OG0002130	Texas_F1_protein	VVA12462, VVA12463	TexasF1_G9423.1, TexasF1_G9424.1
OG0002130	OrthoDB_Prunus_dulcis_CNAG	VVA12462, VVA12463	3755_0_001973
OG0002131	Texas_F1_protein	VVA18565, VVA12607	TexasF1_G9563.1
OG0002131	OrthoDB_Prunus_dulcis_CNAG	VVA18565	3755_0_001a90
OG0002131	OrthoDB_Prunus_dulcis_CNAG	VVA12607	3755_0_001992
OG0002132	Texas_F1_protein	VVA12579, VVA25411	TexasF1_G23043.1
OG0002132	OrthoDB_Prunus_dulcis_CNAG	VVA12579, VVA25411	3755_0_0041ef, 3755_0_001cbb
OG0002133	Texas_F1_protein	VVA30648, VVA12526, VVA23726, VVA23725	TexasF1_G13955.1
OG0002134	Texas_F1_protein	VVA28709, VVA12503	TexasF1_G9466.1
OG0002134	OrthoDB_Prunus_dulcis_CNAG	VVA28709	3755_0_0040f2
OG0002134	OrthoDB_Prunus_dulcis_CNAG	VVA12503	3755_0_00146d
OG0002135	Texas_F1_protein	VVA17333, VVA12225	TexasF1_G9195.1
OG0002135	OrthoDB_Prunus_dulcis_CNAG	VVA17333	3755_0_004382
OG0002135	OrthoDB_Prunus_dulcis_CNAG	VVA12225	3755_0_0019cb
OG0002136	Texas_F1_protein	VVA12690	TexasF1_G23583.1
OG0002136	OrthoDB_Prunus_dulcis_CNAG	VVA12690	3755_0_003c02
OG0002137	Texas_F1_protein	VVA13041, VVA13040, VVA13042	TexasF1_G23856.1
OG0002137	OrthoDB_Prunus_dulcis_CNAG	VVA13041, VVA13040, VVA13042	3755_0_0043fe
OG0002138	Texas_F1_protein	VVA13078, VVA29713, VVA29714	TexasF1_G23884.1
OG0002138	OrthoDB_Prunus_dulcis_CNAG	VVA13078, VVA29713, VVA29714	3755_0_004435
OG0002139	Texas_F1_protein	VVA22564, VVA13030, VVA13029	TexasF1_G23851.1
OG0002139	OrthoDB_Prunus_dulcis_CNAG	VVA22564, VVA13030, VVA13029	3755_0_003d75
OG0002140	Texas_F1_protein	VVA13155, VVA41483	TexasF1_G23945.1
OG0002140	OrthoDB_Prunus_dulcis_CNAG	VVA13155	3755_0_005938
OG0002140	OrthoDB_Prunus_dulcis_CNAG	VVA41483	3755_0_0044ce
OG0002141	Texas_F1_protein	VVA12772, VVA12774, VVA12773	TexasF1_G23645.1
OG0002141	OrthoDB_Prunus_dulcis_CNAG	VVA12772, VVA12774, VVA12773	3755_0_003f96
OG0002142	Texas_F1_protein	VVA13049, VVA13051, VVA13050	TexasF1_G23861.1
OG0002142	OrthoDB_Prunus_dulcis_CNAG	VVA13049, VVA13051, VVA13050	3755_0_003b81
OG0002143	Texas_F1_protein	VVA13081, VVA13080, VVA13079	TexasF1_G23885.1
OG0002143	OrthoDB_Prunus_dulcis_CNAG	VVA13081, VVA13080, VVA13079	3755_0_003ad6
OG0002144	Texas_F1_protein	VVA12994, VVA16179	TexasF1_G1005.1
OG0002144	OrthoDB_Prunus_dulcis_CNAG	VVA12994	3755_0_004341
OG0002144	OrthoDB_Prunus_dulcis_CNAG	VVA16179	3755_0_0007e1
OG0002145	Texas_F1_protein	VVA12849, VVA12850	TexasF1_G23711.1
OG0002145	OrthoDB_Prunus_dulcis_CNAG	VVA12849	3755_0_0006d9
OG0002145	OrthoDB_Prunus_dulcis_CNAG	VVA12850	3755_0_0039ff
OG0002146	Texas_F1_protein	VVA13093, VVA13094, VVA13095	TexasF1_G23895.1
OG0002146	OrthoDB_Prunus_dulcis_CNAG	VVA13093, VVA13094, VVA13095	3755_0_004275
OG0002147	Texas_F1_protein	VVA13016, VVA13033, VVA13015	TexasF1_G23843.1
OG0002147	OrthoDB_Prunus_dulcis_CNAG	VVA13016, VVA13033, VVA13015	3755_0_00413f
OG0002148	Texas_F1_protein	VVA12861, VVA12829, VVA12828	TexasF1_G23718.1
OG0002148	OrthoDB_Prunus_dulcis_CNAG	VVA12861, VVA12829, VVA12828	3755_0_004178
OG0002149	Texas_F1_protein	VVA12883, VVA12882, VVA12884	TexasF1_G23737.1
OG0002149	OrthoDB_Prunus_dulcis_CNAG	VVA12883, VVA12882, VVA12884	3755_0_00417c
OG0002150	Texas_F1_protein	VVA12687, VVA12685, VVA12686	TexasF1_G23581.1
OG0002150	OrthoDB_Prunus_dulcis_CNAG	VVA12687, VVA12685, VVA12686	3755_0_004335
OG0002151	Texas_F1_protein	VVA12751, VVA12750, VVA12749	TexasF1_G23627.1
OG0002151	OrthoDB_Prunus_dulcis_CNAG	VVA12751, VVA12750, VVA12749	3755_0_003cee
OG0002152	OrthoDB_Prunus_dulcis_CNAG	VVA12618, VVA12620	3755_0_00587d
OG0002152	Texas_F1_protein	VVA12618, VVA12620	TexasF1_G23519.1, TexasF1_G23522.1
OG0002153	Texas_F1_protein	VVA12674, VVA12673, VVA12675	TexasF1_G23569.1
OG0002153	OrthoDB_Prunus_dulcis_CNAG	VVA12674, VVA12673, VVA12675	3755_0_003ac1
OG0002154	OrthoDB_Prunus_dulcis_CNAG	VVA12621	3755_0_00587e
OG0002154	Texas_F1_protein	VVA12621	TexasF1_G23520.1
OG0002155	Texas_F1_protein	VVA12855, VVA12856, VVA12854	TexasF1_G23715.1
OG0002155	OrthoDB_Prunus_dulcis_CNAG	VVA12855, VVA12856, VVA12854	3755_0_003b10
OG0002156	Texas_F1_protein	VVA13028, VVA13027, VVA13026	TexasF1_G23850.1
OG0002156	OrthoDB_Prunus_dulcis_CNAG	VVA13028, VVA13027, VVA13026	3755_0_003f70
OG0002157	Texas_F1_protein	VVA12619, VVA40823, VVA40822	TexasF1_G23518.1
OG0002157	OrthoDB_Prunus_dulcis_CNAG	VVA12619, VVA40823, VVA40822	3755_0_00587c
OG0002158	OrthoDB_Prunus_dulcis_CNAG	VVA12780	3755_0_004277
OG0002158	Texas_F1_protein	VVA12780	TexasF1_G23651.1
OG0002159	Texas_F1_protein	VVA13074	TexasF1_G6735.1, TexasF1_G23721.1, TexasF1_G23881.1
OG0002159	OrthoDB_Prunus_dulcis_CNAG	VVA13074	3755_0_003fa7
OG0002160	Texas_F1_protein	VVA13279, VVA13277, VVA13278	TexasF1_G3267.1
OG0002160	OrthoDB_Prunus_dulcis_CNAG	VVA13279, VVA13277, VVA13278	3755_0_000fd8
OG0002161	Texas_F1_protein	VVA13417, VVA13415, VVA13416	TexasF1_G3388.1
OG0002161	OrthoDB_Prunus_dulcis_CNAG	VVA13417, VVA13415, VVA13416	3755_0_000df8
OG0002162	OrthoDB_Prunus_dulcis_CNAG	VVA13291	3755_0_000955
OG0002162	Texas_F1_protein	VVA13291	TexasF1_G3280.1, TexasF1_G3238.1, TexasF1_G3239.1
OG0002163	Texas_F1_protein	VVA13208, VVA13234, VVA13233	TexasF1_G3231.1
OG0002163	OrthoDB_Prunus_dulcis_CNAG	VVA13208, VVA13234, VVA13233	3755_0_000a54
OG0002164	Texas_F1_protein	VVA13388, VVA21125	TexasF1_G10405.1
OG0002164	OrthoDB_Prunus_dulcis_CNAG	VVA13388	3755_0_0012a4
OG0002164	OrthoDB_Prunus_dulcis_CNAG	VVA21125	3755_0_0022a4
OG0002165	Texas_F1_protein	VVA13408, VVA13407	TexasF1_G3380.1, TexasF1_G3382.1
OG0002165	OrthoDB_Prunus_dulcis_CNAG	VVA13408, VVA13407	3755_0_001198
OG0002166	Texas_F1_protein	VVA13452, VVA13453, VVA13451	TexasF1_G3418.1
OG0002166	OrthoDB_Prunus_dulcis_CNAG	VVA13452, VVA13453, VVA13451	3755_0_000191
OG0002167	Texas_F1_protein	VVA13220, VVA40847	TexasF1_G3207.1
OG0002167	OrthoDB_Prunus_dulcis_CNAG	VVA13220	3755_0_005882
OG0002167	OrthoDB_Prunus_dulcis_CNAG	VVA40847	3755_0_000ea9
OG0002168	Texas_F1_protein	VVA13219, VVA40848	TexasF1_G3206.1
OG0002168	OrthoDB_Prunus_dulcis_CNAG	VVA13219, VVA40848	3755_0_000f41, 3755_0_005881
OG0002169	Texas_F1_protein	VVA41332, VVA13327	TexasF1_G3311.1
OG0002169	OrthoDB_Prunus_dulcis_CNAG	VVA41332	3755_0_00069f
OG0002169	OrthoDB_Prunus_dulcis_CNAG	VVA13327	3755_0_00590f
OG0002170	Texas_F1_protein	VVA13444, VVA13445, VVA13443	TexasF1_G3411.1
OG0002170	OrthoDB_Prunus_dulcis_CNAG	VVA13444, VVA13445, VVA13443	3755_0_0000c8
OG0002171	Texas_F1_protein	VVA13241, VVA40139	TexasF1_G3240.1
OG0002171	OrthoDB_Prunus_dulcis_CNAG	VVA13241	3755_0_000342
OG0002171	OrthoDB_Prunus_dulcis_CNAG	VVA40139	3755_0_0057d7
OG0002172	Texas_F1_protein	VVA17151, VVA13433	TexasF1_G3399.1
OG0002172	OrthoDB_Prunus_dulcis_CNAG	VVA17151	3755_0_0032c2
OG0002172	OrthoDB_Prunus_dulcis_CNAG	VVA13433	3755_0_000778
OG0002173	Texas_F1_protein	VVA13177, VVA13178, VVA13176	TexasF1_G3175.1
OG0002173	OrthoDB_Prunus_dulcis_CNAG	VVA13177, VVA13178, VVA13176	3755_0_000dc0
OG0002174	Texas_F1_protein	VVA13218, VVA40849	TexasF1_G3205.1
OG0002174	OrthoDB_Prunus_dulcis_CNAG	VVA13218	3755_0_005880
OG0002174	OrthoDB_Prunus_dulcis_CNAG	VVA40849	3755_0_000046
OG0002175	Texas_F1_protein	VVA13314	TexasF1_G3301.1
OG0002175	OrthoDB_Prunus_dulcis_CNAG	VVA13314	3755_0_00016b, 3755_0_000ca5, 3755_0_0011f3
OG0002176	Texas_F1_protein	VVA13187	TexasF1_G3181.1, TexasF1_G19015.1, TexasF1_G19016.1
OG0002176	OrthoDB_Prunus_dulcis_CNAG	VVA13187	3755_0_0001ae
OG0002177	Texas_F1_protein	VVA22047, VVA13221, VVA36330	TexasF1_G28327.1
OG0002177	OrthoDB_Prunus_dulcis_CNAG	VVA22047, VVA13221, VVA36330	3755_0_0055ce
OG0002178	Texas_F1_protein	VVA13242, VVA40140	TexasF1_G3241.1
OG0002178	OrthoDB_Prunus_dulcis_CNAG	VVA13242	3755_0_000729
OG0002178	OrthoDB_Prunus_dulcis_CNAG	VVA40140	3755_0_0057d8
OG0002179	Texas_F1_protein	VVA13323, VVA15838, VVA26422	TexasF1_G3307.1
OG0002179	OrthoDB_Prunus_dulcis_CNAG	VVA13323, VVA15838, VVA26422	3755_0_000548
OG0002180	OrthoDB_Prunus_dulcis_CNAG	VVA13297	3755_0_00045a
OG0002180	Texas_F1_protein	VVA13297	TexasF1_G3285.1, TexasF1_G2314.1, TexasF1_G3283.1
OG0002181	Texas_F1_protein	VVA26350	TexasF1_G23500.1
OG0002181	OrthoDB_Prunus_dulcis_CNAG	VVA13232	3755_0_000776
OG0002181	Texas_F1_protein	VVA13232	TexasF1_G3230.1
OG0002182	Texas_F1_protein	VVA18146, VVA18145, VVA13565, VVA13613	TexasF1_G1498.1
OG0002183	Texas_F1_protein	VVA13650, VVA13651, VVA13652	TexasF1_G5906.1
OG0002183	OrthoDB_Prunus_dulcis_CNAG	VVA13650, VVA13651, VVA13652	3755_0_000be7
OG0002184	Texas_F1_protein	VVA13703, VVA13704, VVA13705	TexasF1_G5947.1
OG0002184	OrthoDB_Prunus_dulcis_CNAG	VVA13703, VVA13704, VVA13705	3755_0_000825
OG0002185	Texas_F1_protein	VVA13510, VVA13508, VVA13509	TexasF1_G5788.1
OG0002185	OrthoDB_Prunus_dulcis_CNAG	VVA13510, VVA13508, VVA13509	3755_0_00087b
OG0002186	Texas_F1_protein	VVA13640, VVA13639, VVA13638	TexasF1_G5898.1
OG0002186	OrthoDB_Prunus_dulcis_CNAG	VVA13640, VVA13639, VVA13638	3755_0_0006d4
OG0002187	Texas_F1_protein	VVA13575, VVA15930, VVA20754	TexasF1_G20848.1
OG0002187	OrthoDB_Prunus_dulcis_CNAG	VVA13575, VVA15930, VVA20754	3755_0_003d3c
OG0002188	Texas_F1_protein	VVA13603, VVA13602	TexasF1_G5869.1, TexasF1_G5870.1
OG0002188	OrthoDB_Prunus_dulcis_CNAG	VVA13603, VVA13602	3755_0_000865
OG0002189	Texas_F1_protein	VVA13663, VVA13662, VVA13664	TexasF1_G5916.1
OG0002189	OrthoDB_Prunus_dulcis_CNAG	VVA13663, VVA13662, VVA13664	3755_0_00084c
OG0002190	Texas_F1_protein	VVA13679, VVA13678, VVA30430	TexasF1_G5923.1
OG0002190	OrthoDB_Prunus_dulcis_CNAG	VVA13679, VVA13678, VVA30430	3755_0_00122b
OG0002191	Texas_F1_protein	VVA15650, VVA13656	TexasF1_G29086.1
OG0002191	OrthoDB_Prunus_dulcis_CNAG	VVA15650	3755_0_004e04
OG0002191	OrthoDB_Prunus_dulcis_CNAG	VVA13656	3755_0_000148
OG0002192	Texas_F1_protein	VVA18108, VVA13747	TexasF1_G5993.1
OG0002192	OrthoDB_Prunus_dulcis_CNAG	VVA18108	3755_0_000056
OG0002192	OrthoDB_Prunus_dulcis_CNAG	VVA13747	3755_0_00088a
OG0002193	Texas_F1_protein	VVA14161, VVA14163, VVA14162	TexasF1_G30010.1
OG0002193	OrthoDB_Prunus_dulcis_CNAG	VVA14161, VVA14163, VVA14162	3755_0_00534f
OG0002194	Texas_F1_protein	VVA14152, VVA14153, VVA14151	TexasF1_G30005.1
OG0002194	OrthoDB_Prunus_dulcis_CNAG	VVA14152, VVA14153, VVA14151	3755_0_0055d3
OG0002195	Texas_F1_protein	VVA13918, VVA13917	TexasF1_G29813.1
OG0002195	OrthoDB_Prunus_dulcis_CNAG	VVA13918, VVA13917	3755_0_005030, 3755_0_005475
OG0002196	Texas_F1_protein	VVA14196, VVA14197, VVA14195	TexasF1_G30029.1
OG0002196	OrthoDB_Prunus_dulcis_CNAG	VVA14196, VVA14197, VVA14195	3755_0_00561c
OG0002197	Texas_F1_protein	VVA14179, VVA14181, VVA14180	TexasF1_G30018.1
OG0002197	OrthoDB_Prunus_dulcis_CNAG	VVA14179, VVA14181, VVA14180	3755_0_005512
OG0002198	Texas_F1_protein	VVA14067, VVA14068, VVA14069	TexasF1_G29936.1
OG0002198	OrthoDB_Prunus_dulcis_CNAG	VVA14067, VVA14068, VVA14069	3755_0_004e46
OG0002199	Texas_F1_protein	VVA13984, VVA13985, VVA13986	TexasF1_G29876.1
OG0002199	OrthoDB_Prunus_dulcis_CNAG	VVA13984, VVA13985, VVA13986	3755_0_00508c
OG0002200	Texas_F1_protein	VVA14081, VVA14079, VVA14080	TexasF1_G29944.1
OG0002200	OrthoDB_Prunus_dulcis_CNAG	VVA14081, VVA14079, VVA14080	3755_0_004fc9
OG0002201	Texas_F1_protein	VVA32168, VVA13932, VVA14401	TexasF1_G23264.1
OG0002201	OrthoDB_Prunus_dulcis_CNAG	VVA32168, VVA13932, VVA14401	3755_0_004330
OG0002202	Texas_F1_protein	VVA13861, VVA13862, VVA13860	TexasF1_G29772.1
OG0002202	OrthoDB_Prunus_dulcis_CNAG	VVA13861, VVA13862, VVA13860	3755_0_005429
OG0002203	Texas_F1_protein	VVA14166, VVA14164, VVA14165	TexasF1_G30011.1
OG0002203	OrthoDB_Prunus_dulcis_CNAG	VVA14166, VVA14164, VVA14165	3755_0_004f5c
OG0002204	Texas_F1_protein	VVA13934	TexasF1_G29833.1
OG0002204	OrthoDB_Prunus_dulcis_CNAG	VVA13934	3755_0_0050b3
OG0002204	Texas_F1_protein	VVA13935	TexasF1_G29831.1
OG0002205	Texas_F1_protein	VVA13947, VVA13948, VVA13949	TexasF1_G29846.1
OG0002205	OrthoDB_Prunus_dulcis_CNAG	VVA13947, VVA13948, VVA13949	3755_0_00528b
OG0002206	Texas_F1_protein	VVA14160, VVA14158, VVA14159	TexasF1_G30009.1
OG0002206	OrthoDB_Prunus_dulcis_CNAG	VVA14160, VVA14158, VVA14159	3755_0_00520f
OG0002207	OrthoDB_Prunus_dulcis_CNAG	VVA14124	3755_0_004fa5
OG0002207	Texas_F1_protein	VVA14124	TexasF1_G21367.1
OG0002208	Texas_F1_protein	VVA13853, VVA26243	TexasF1_G17857.1
OG0002208	OrthoDB_Prunus_dulcis_CNAG	VVA13853	3755_0_005544
OG0002208	OrthoDB_Prunus_dulcis_CNAG	VVA26243	3755_0_003821
OG0002209	Texas_F1_protein	VVA16787, VVA14175	TexasF1_G1878.1
OG0002209	OrthoDB_Prunus_dulcis_CNAG	VVA16787	3755_0_000665
OG0002209	OrthoDB_Prunus_dulcis_CNAG	VVA14175	3755_0_005439
OG0002210	Texas_F1_protein	VVA30038, VVA13921	TexasF1_G29816.1
OG0002210	OrthoDB_Prunus_dulcis_CNAG	VVA30038	3755_0_00516f
OG0002210	OrthoDB_Prunus_dulcis_CNAG	VVA13921	3755_0_004f68
OG0002211	Texas_F1_protein	VVA14245, VVA14244, VVA14246	TexasF1_G23128.1
OG0002211	OrthoDB_Prunus_dulcis_CNAG	VVA14245, VVA14244, VVA14246	3755_0_003bdc
OG0002212	Texas_F1_protein	VVA14285, VVA41425	TexasF1_G23164.1
OG0002212	OrthoDB_Prunus_dulcis_CNAG	VVA14285	3755_0_003a62
OG0002212	OrthoDB_Prunus_dulcis_CNAG	VVA41425	3755_0_005927
OG0002213	Texas_F1_protein	VVA14237, VVA14239, VVA14238	TexasF1_G23123.1
OG0002213	OrthoDB_Prunus_dulcis_CNAG	VVA14237, VVA14239, VVA14238	3755_0_003d26
OG0002214	Texas_F1_protein	VVA14442, VVA14443, VVA14444	TexasF1_G23302.1
OG0002214	OrthoDB_Prunus_dulcis_CNAG	VVA14442, VVA14443, VVA14444	3755_0_004004
OG0002215	Texas_F1_protein	VVA16376, VVA14475	TexasF1_G23325.1
OG0002215	OrthoDB_Prunus_dulcis_CNAG	VVA16376	3755_0_003dd4
OG0002215	OrthoDB_Prunus_dulcis_CNAG	VVA14475	3755_0_003e29
OG0002216	Texas_F1_protein	VVA14278, VVA14279, VVA14280	TexasF1_G23156.1
OG0002216	OrthoDB_Prunus_dulcis_CNAG	VVA14278, VVA14279, VVA14280	3755_0_003dab
OG0002217	Texas_F1_protein	VVA14454, VVA14453, VVA14455	TexasF1_G23308.1
OG0002217	OrthoDB_Prunus_dulcis_CNAG	VVA14454, VVA14453, VVA14455	3755_0_003f4b
OG0002218	Texas_F1_protein	VVA14220	TexasF1_G23105.1
OG0002218	Texas_F1_protein	VVA14219	TexasF1_G23104.1
OG0002218	OrthoDB_Prunus_dulcis_CNAG	VVA14219	3755_0_003bde
OG0002219	Texas_F1_protein	VVA14468, VVA41544	TexasF1_G23318.1
OG0002219	OrthoDB_Prunus_dulcis_CNAG	VVA14468	3755_0_00594e
OG0002219	OrthoDB_Prunus_dulcis_CNAG	VVA41544	3755_0_004363
OG0002220	OrthoDB_Prunus_dulcis_CNAG	VVA14344, VVA14343	3755_0_004448
OG0002220	Texas_F1_protein	VVA14344	TexasF1_G23215.1
OG0002220	Texas_F1_protein	VVA14343	TexasF1_G18755.1
OG0002221	Texas_F1_protein	VVA29519	TexasF1_G130.1
OG0002221	Texas_F1_protein	VVA14370, VVA14371	TexasF1_G23237.1
OG0002222	Texas_F1_protein	VVA14434	TexasF1_G23293.1
OG0002222	OrthoDB_Prunus_dulcis_CNAG	VVA14434	3755_0_0044d3
OG0002223	Texas_F1_protein	VVA14286, VVA41426	TexasF1_G23165.1
OG0002223	OrthoDB_Prunus_dulcis_CNAG	VVA14286	3755_0_005928
OG0002223	OrthoDB_Prunus_dulcis_CNAG	VVA41426	3755_0_003a21
OG0002224	Texas_F1_protein	VVA14391, VVA14390, VVA14392	TexasF1_G23250.1
OG0002224	OrthoDB_Prunus_dulcis_CNAG	VVA14391, VVA14390, VVA14392	3755_0_004465
OG0002225	Texas_F1_protein	VVA14415, VVA14416	TexasF1_G23276.1
OG0002225	OrthoDB_Prunus_dulcis_CNAG	VVA14415	3755_0_0042ef
OG0002225	OrthoDB_Prunus_dulcis_CNAG	VVA14416	3755_0_003d1d
OG0002226	Texas_F1_protein	VVA14315, VVA22205, VVA30297	TexasF1_G27455.1
OG0002226	OrthoDB_Prunus_dulcis_CNAG	VVA14315, VVA22205, VVA30297	3755_0_002614
OG0002227	Texas_F1_protein	VVA16433	TexasF1_G20390.1
OG0002227	Texas_F1_protein	VVA14395	TexasF1_G20401.1
OG0002227	OrthoDB_Prunus_dulcis_CNAG	VVA14395	3755_0_003f7c
OG0002228	Texas_F1_protein	VVA14373, VVA29520, VVA14372	TexasF1_G23238.1
OG0002228	OrthoDB_Prunus_dulcis_CNAG	VVA14373, VVA29520, VVA14372	3755_0_003e02
OG0002229	OrthoDB_Prunus_dulcis_CNAG	VVA14232, VVA14233, VVA23092, VVA32458	3755_0_003c86
OG0002230	OrthoDB_Prunus_dulcis_CNAG	VVA16459, VVA14352	3755_0_00422e
OG0002230	Texas_F1_protein	VVA16459	TexasF1_G20427.1
OG0002230	Texas_F1_protein	VVA14352	TexasF1_G23222.1
OG0002231	Texas_F1_protein	VVA14734, VVA14735, VVA14733	TexasF1_G4360.1
OG0002231	OrthoDB_Prunus_dulcis_CNAG	VVA14734, VVA14735, VVA14733	3755_0_0004a5
OG0002232	Texas_F1_protein	VVA14722, VVA14724, VVA14723	TexasF1_G4354.1
OG0002232	OrthoDB_Prunus_dulcis_CNAG	VVA14722, VVA14724, VVA14723	3755_0_000e4b
OG0002233	Texas_F1_protein	VVA14792, VVA14793, VVA14794	TexasF1_G4404.1
OG0002233	OrthoDB_Prunus_dulcis_CNAG	VVA14792, VVA14793, VVA14794	3755_0_000f3e
OG0002235	Texas_F1_protein	VVA32856, VVA14738	TexasF1_G12379.1
OG0002235	OrthoDB_Prunus_dulcis_CNAG	VVA32856	3755_0_002331
OG0002235	OrthoDB_Prunus_dulcis_CNAG	VVA14738	3755_0_0001b7
OG0002236	Texas_F1_protein	VVA15082, VVA15083, VVA15084	TexasF1_G5563.1
OG0002236	OrthoDB_Prunus_dulcis_CNAG	VVA15082, VVA15083, VVA15084	3755_0_0003a9
OG0002237	Texas_F1_protein	VVA14982, VVA14984, VVA14983	TexasF1_G5482.1
OG0002237	OrthoDB_Prunus_dulcis_CNAG	VVA14982, VVA14984, VVA14983	3755_0_000bc9
OG0002238	Texas_F1_protein	VVA14935, VVA14934, VVA14933	TexasF1_G5440.1
OG0002238	OrthoDB_Prunus_dulcis_CNAG	VVA14935, VVA14934, VVA14933	3755_0_000654
OG0002239	OrthoDB_Prunus_dulcis_CNAG	VVA15079, VVA15080	3755_0_000d17
OG0002239	Texas_F1_protein	VVA15079	TexasF1_G5561.1
OG0002239	Texas_F1_protein	VVA15080	TexasF1_G11166.1
OG0002240	Texas_F1_protein	VVA14936, VVA14937, VVA14938	TexasF1_G5441.1
OG0002240	OrthoDB_Prunus_dulcis_CNAG	VVA14936, VVA14937, VVA14938	3755_0_000ef6
OG0002241	Texas_F1_protein	VVA14998, VVA14997, VVA14996, VVA15050	TexasF1_G5492.1
OG0002242	OrthoDB_Prunus_dulcis_CNAG	VVA14965	3755_0_0002e1
OG0002242	Texas_F1_protein	VVA14965	TexasF1_G5460.1
OG0002243	Texas_F1_protein	VVA14961, VVA14960, VVA14962	TexasF1_G5458.1
OG0002243	OrthoDB_Prunus_dulcis_CNAG	VVA14961, VVA14960, VVA14962	3755_0_00086d
OG0002244	Texas_F1_protein	VVA14855, VVA14853, VVA14854	TexasF1_G5370.1
OG0002244	OrthoDB_Prunus_dulcis_CNAG	VVA14855, VVA14853, VVA14854	3755_0_001021
OG0002245	Texas_F1_protein	VVA18090, VVA14925	TexasF1_G5432.1
OG0002245	OrthoDB_Prunus_dulcis_CNAG	VVA18090	3755_0_000a43
OG0002245	OrthoDB_Prunus_dulcis_CNAG	VVA14925	3755_0_000dea
OG0002246	Texas_F1_protein	VVA14872, VVA32712	TexasF1_G11072.1
OG0002246	OrthoDB_Prunus_dulcis_CNAG	VVA14872	3755_0_000eec
OG0002246	OrthoDB_Prunus_dulcis_CNAG	VVA32712	3755_0_0025ce
OG0002247	Texas_F1_protein	VVA30424, VVA15048	TexasF1_G28375.1
OG0002247	OrthoDB_Prunus_dulcis_CNAG	VVA30424	3755_0_0054ff
OG0002247	OrthoDB_Prunus_dulcis_CNAG	VVA15048	3755_0_000c4f
OG0002248	Texas_F1_protein	VVA15088	TexasF1_G5567.1
OG0002248	OrthoDB_Prunus_dulcis_CNAG	VVA15088	3755_0_00064b
OG0002249	Texas_F1_protein	VVA35564	TexasF1_G25537.1
OG0002249	OrthoDB_Prunus_dulcis_CNAG	VVA35564	3755_0_0049a1
OG0002249	Texas_F1_protein	VVA15157	TexasF1_G28556.1
OG0002250	Texas_F1_protein	VVA15145, VVA15147, VVA15146	TexasF1_G28547.1
OG0002250	OrthoDB_Prunus_dulcis_CNAG	VVA15145, VVA15147, VVA15146	3755_0_0051e8
OG0002251	Texas_F1_protein	VVA15164, VVA15163, VVA15165	TexasF1_G28560.1
