Orthogroup	Species	Prunus_armeniaca_Marouch_n14_peptide	Orthologs
OG0000093	OrthoDB_Prunus_armeniaca_Orared	PruarM.4G278200.t1.p1_1	36596_0_00377f
OG0000093	OrthoDB_Prunus_armeniaca_Orared	PruarM.4G277900.t1.p1_1	36596_0_00371b
OG0000093	OrthoDB_Prunus_armeniaca_Orared	PruarM.4G277700.t1.p1_1	36596_0_004189
OG0000093	OrthoDB_Prunus_armeniaca_Orared	PruarM.4G277800.t1.p1_1, PruarM.4G264300.t1.p1_1	36596_0_003be6
OG0000093	OrthoDB_Prunus_armeniaca_Orared	PruarM.1G517600.t1.p1_1, PruarM.8G135900.t1.p1_1, PruarM.1G532100.t1.p1_1, PruarM.1G543100.t1.p1_1, PruarM.5G289600.t1.p1_1, PruarM.5G289700.t1.p1_1, PruarM.5G289800.t1.p1_1, PruarM.5G290000.t1.p1_1, PruarM.5G289900.t1.p1_1, PruarM.8G012500.t1.p1_1, PruarM.5G290100.t1.p1_1, PruarM.5G290200.t1.p1_1, PruarM.1G517800.t2.p1_1, PruarM.1G517800.t1.p1_1	36596_0_0017f8
OG0000093	OrthoDB_Prunus_armeniaca_Orared	PruarM.8G171300.t1.p1_1	36596_0_006db5
OG0000093	OrthoDB_Prunus_armeniaca_Orared	PruarM.8G172100.t1.p1_1	36596_0_0072b7
OG0000093	OrthoDB_Prunus_armeniaca_Orared	PruarM.8G172200.t1.p1_1, PruarM.8G172300.t1.p1_1	36596_0_006ee6
OG0000093	OrthoDB_Prunus_armeniaca_Orared	PruarM.7G267100.t1.p1_1	36596_0_0064ee
OG0000093	OrthoDB_Prunus_armeniaca_Orared	PruarM.1G574200.t1.p1_1	36596_0_005df4, 36596_0_00149a
OG0000094	OrthoDB_Prunus_armeniaca_Orared	PruarM.4G235000.t1.p1_1	36596_0_006c11
OG0000094	OrthoDB_Prunus_armeniaca_Orared	PruarM.4G234500.t1.p1_1, PruarM.4G235600.t1.p1_1, PruarM.4G236000.t1.p1_1, PruarM.4G230800.t1.p1_1, PruarM.4G231000.t1.p1_1, PruarM.4G243100.t1.p1_1, PruarM.4G243300.t1.p1_1, PruarM.6G225900.t1.p1_1, PruarM.4G243200.t1.p1_1, PruarM.4G231400.t1.p1_1, PruarM.4G303200.t1.p1_1, PruarM.4G303300.t1.p1_1, PruarM.4G241200.t1.p1_1, PruarM.4G241800.t1.p1_1, PruarM.4G244300.t1.p1_1, PruarM.4G247600.t1.p1_1, PruarM.4G241300.t1.p1_1, PruarM.4G242000.t1.p1_1, PruarM.4G241900.t1.p1_1, PruarM.4G244900.t1.p1_1, PruarM.4G243500.t1.p1_1, PruarM.4G243400.t1.p1_1, PruarM.4G247500.t1.p1_1, PruarM.4G246700.t1.p1_1, PruarM.4G248400.t1.p1_1, PruarM.4G279100.t1.p1_1, PruarM.4G246800.t1.p1_1, PruarM.4G247300.t2.p1_1, PruarM.4G247300.t1.p1_1, PruarM.4G248000.t1.p1_1, PruarM.4G241500.t1.p1_1, PruarM.4G242100.t1.p1_1, PruarM.4G244400.t1.p1_1, PruarM.4G245100.t1.p1_1, PruarM.4G235100.t1.p1_1, PruarM.4G235700.t1.p1_1, PruarM.4G235200.t1.p1_1, PruarM.4G235800.t1.p1_1	36596_0_004098
OG0000095	OrthoDB_Prunus_armeniaca_Orared	PruarM.3G083800.t1.p1_1	36596_0_000ccd
OG0000095	OrthoDB_Prunus_armeniaca_Orared	PruarM.1G465500.t1.p1_1	36596_0_0016b4
OG0000095	OrthoDB_Prunus_armeniaca_Orared	PruarM.1G012400.t1.p1_1	36596_0_0011ff
OG0000095	OrthoDB_Prunus_armeniaca_Orared	PruarM.6G110800.t1.p1_1	36596_0_0054a8
OG0000095	OrthoDB_Prunus_armeniaca_Orared	PruarM.1G070500.t1.p1_1, PruarM.1G115700.t1.p1_1, PruarM.1G678100.t1.p1_1, PruarM.1G673300.t1.p1_1, PruarM.1G673500.t1.p1_1, PruarM.4G128300.t1.p1_1, PruarM.4G128900.t1.p1_1, PruarM.4G129100.t1.p1_1, PruarM.4G128500.t1.p1_1, PruarM.4G129200.t1.p1_1, PruarM.4G129300.t1.p1_1, PruarM.6G289400.t1.p1_1, PruarM.6G291900.t1.p1_1, PruarM.6G292300.t1.p1_1, PruarM.6G289800.t1.p1_1, PruarM.4G128200.t1.p1_1, PruarM.4G128400.t1.p1_1	36596_0_003f91
OG0000095	OrthoDB_Prunus_armeniaca_Orared	PruarM.2G381900.t1.p1_1, PruarM.3G224400.t1.p1_1, PruarM.2G382800.t1.p1_1, PruarM.2G461700.t1.p1_1, PruarM.7G343400.t1.p1_1, PruarM.7G343800.t1.p1_1, PruarM.7G343600.t1.p1_1, PruarM.2G461300.t1.p1_1, PruarM.2G450900.t1.p1_1, PruarM.5G144100.t2.p1_1, PruarM.5G144100.t1.p1_1, PruarM.1G556200.t1.p2_1	36596_0_0001d0
OG0000096	OrthoDB_Prunus_armeniaca_Orared	PruarM.1G733900.t1.p1_1, PruarM.1G733900.t2.p1_1	36596_0_0018d7
OG0000096	OrthoDB_Prunus_armeniaca_Orared	PruarM.3G028500.t1.p1_1	36596_0_003504, 36596_0_00284e
OG0000096	OrthoDB_Prunus_armeniaca_Orared	PruarM.3G028400.t1.p1_1, PruarM.5G038200.t1.p1_1	36596_0_004777
OG0000096	OrthoDB_Prunus_armeniaca_Orared	PruarM.3G038300.t2.p1_1, PruarM.3G038300.t1.p1_1	36596_0_0029c3
OG0000096	OrthoDB_Prunus_armeniaca_Orared	PruarM.1G007300.t1.p1_1, PruarM.8G196000.t1.p1_1, PruarM.8G196100.t1.p1_1, PruarM.1G777500.t1.p1_1, PruarM.3G038000.t1.p1_1, PruarM.3G037800.t1.p1_1, PruarM.3G043700.t1.p1_1, PruarM.3G358000.t1.p1_1, PruarM.3G038100.t1.p1_1, PruarM.3G038200.t3.p1_1, PruarM.3G038200.t2.p1_1, PruarM.3G038200.t1.p1_1, PruarM.3G037900.t1.p1_1	36596_0_00031f, 36596_0_00286c, 36596_0_00324e
OG0000096	OrthoDB_Prunus_armeniaca_Orared	PruarM.2G314900.t1.p1_1	36596_0_002f45
OG0000097	OrthoDB_Prunus_armeniaca_Orared	PruarM.3G273600.t1.p1_1	36596_0_00296f
OG0000097	OrthoDB_Prunus_armeniaca_Orared	PruarM.5G068100.t1.p1_1	36596_0_004516
OG0000097	OrthoDB_Prunus_armeniaca_Orared	PruarM.5G068200.t1.p1_1	36596_0_004d77
OG0000097	OrthoDB_Prunus_armeniaca_Orared	PruarM.3G276700.t1.p1_1	36596_0_002aa7
OG0000097	OrthoDB_Prunus_armeniaca_Orared	PruarM.3G272000.t1.p1_1	36596_0_002ef9
OG0000097	OrthoDB_Prunus_armeniaca_Orared	PruarM.3G272500.t1.p1_1, PruarM.3G272100.t2.p1_1, PruarM.3G272100.t1.p1_1, PruarM.3G272300.t1.p1_1, PruarM.3G272600.t1.p1_1	36596_0_00340b, 36596_0_003410, 36596_0_0035b1
OG0000097	OrthoDB_Prunus_armeniaca_Orared	PruarM.3G270400.t1.p1_1, PruarM.3G270500.t1.p1_1, PruarM.3G270700.t1.p1_1, PruarM.3G270900.t1.p1_1, PruarM.3G271000.t1.p1_1, PruarM.1G284100.t1.p1_1, PruarM.1G285600.t1.p1_1, PruarM.1G285800.t1.p1_1, PruarM.1G288300.t1.p1_1, PruarM.1G285700.t1.p1_1, PruarM.1G288200.t1.p1_1, PruarM.3G271400.t1.p1_1, PruarM.3G271900.t1.p1_1, PruarM.3G271700.t1.p1_1	36596_0_002944, 36596_0_002f26
OG0000098	OrthoDB_Prunus_armeniaca_Orared	PruarM.5G161000.t1.p1_1	36596_0_004553
OG0000098	OrthoDB_Prunus_armeniaca_Orared	PruarM.5G158400.t1.p1_1	36596_0_004bae
OG0000098	OrthoDB_Prunus_armeniaca_Orared	PruarM.5G159000.t1.p1_1	36596_0_0047d4
OG0000098	OrthoDB_Prunus_armeniaca_Orared	PruarM.5G158800.t1.p1_1	36596_0_0047ea
OG0000098	OrthoDB_Prunus_armeniaca_Orared	PruarM.5G160900.t1.p1_1	36596_0_004aec
OG0000098	OrthoDB_Prunus_armeniaca_Orared	PruarM.5G159400.t1.p1_1	36596_0_004766
OG0000098	OrthoDB_Prunus_armeniaca_Orared	PruarM.5G160600.t1.p1_1	36596_0_004b38
OG0000098	OrthoDB_Prunus_armeniaca_Orared	PruarM.5G158100.t1.p1_1	36596_0_004b39
OG0000098	OrthoDB_Prunus_armeniaca_Orared	PruarM.5G158000.t1.p1_1	36596_0_004d9b
OG0000098	OrthoDB_Prunus_armeniaca_Orared	PruarM.5G158700.t1.p1_1	36596_0_0048dc
OG0000098	OrthoDB_Prunus_armeniaca_Orared	PruarM.5G160700.t1.p1_1	36596_0_0049e5
OG0000098	OrthoDB_Prunus_armeniaca_Orared	PruarM.5G160800.t1.p1_1	36596_0_0046d5, 36596_0_0047a9
OG0000098	OrthoDB_Prunus_armeniaca_Orared	PruarM.5G161400.t1.p1_1	36596_0_004734
OG0000098	OrthoDB_Prunus_armeniaca_Orared	PruarM.5G162800.t1.p1_1	36596_0_004a3c, 36596_0_004bee
OG0000098	OrthoDB_Prunus_armeniaca_Orared	PruarM.5G161900.t1.p1_1	36596_0_004a9e
OG0000098	OrthoDB_Prunus_armeniaca_Orared	PruarM.5G161300.t1.p1_1	36596_0_004d26
OG0000098	OrthoDB_Prunus_armeniaca_Orared	PruarM.5G162500.t1.p1_1	36596_0_004d0b
OG0000098	OrthoDB_Prunus_armeniaca_Orared	PruarM.5G162300.t1.p1_1	36596_0_004711
OG0000098	OrthoDB_Prunus_armeniaca_Orared	PruarM.5G162600.t1.p1_1	36596_0_0043c4
OG0000099	OrthoDB_Prunus_armeniaca_Orared	PruarM.1G466000.t1.p1_1	36596_0_001168
OG0000099	OrthoDB_Prunus_armeniaca_Orared	PruarM.1G053100.t1.p1_1, PruarM.1G053400.t1.p1_1, PruarM.5G289200.t1.p1_1, PruarM.5G289300.t1.p1_1, PruarM.2G236400.t1.p1_1, PruarM.2G236900.t1.p1_1, PruarM.2G236800.t1.p1_1, PruarM.2G236700.t1.p1_1, PruarM.1G071100.t1.p1_1, PruarM.1G071200.t1.p1_1, PruarM.1G071300.t1.p1_1, PruarM.1G070000.t1.p1_1, PruarM.1G070200.t1.p1_1, PruarM.1G070300.t1.p1_1, PruarM.8G300200.t1.p1_1, PruarM.8G300400.t1.p1_1, PruarM.8G300600.t1.p1_1, PruarM.8G300800.t1.p1_1, PruarM.8G300700.t1.p1_1, PruarM.8G300100.t1.p1_1, PruarM.8G300500.t1.p1_1, PruarM.8G300300.t1.p1_1	36596_0_007590
OG0000099	OrthoDB_Prunus_armeniaca_Orared	PruarM.1G733600.t1.p1_1, PruarM.1G453000.t1.p1_1, PruarM.1G452800.t1.p1_1, PruarM.1G452900.t1.p1_1	36596_0_0008a5
OG0000100	OrthoDB_Prunus_armeniaca_Orared	PruarM.4G383800.t3.p1_1, PruarM.4G383800.t1.p1_1, PruarM.4G383800.t2.p1_1	36596_0_001ae5
OG0000100	OrthoDB_Prunus_armeniaca_Orared	PruarM.4G382700.t1.p1_1, PruarM.2G163300.t1.p1_1, PruarM.2G112200.t1.p1_1, PruarM.3G254000.t1.p1_1, PruarM.4G382600.t1.p1_1, PruarM.4G382800.t1.p1_1, PruarM.8G112100.t1.p1_1, PruarM.4G387200.t1.p1_1, PruarM.5G080900.t1.p1_1, PruarM.4G387300.t1.p1_1, PruarM.4G271400.t1.p1_1, PruarM.7G085500.t1.p1_1, PruarM.3G185600.t1.p1_1, PruarM.3G189500.t1.p1_1, PruarM.4G246300.t1.p1_1, PruarM.6G303000.t1.p1_1, PruarM.4G378500.t1.p1_1, PruarM.4G421000.t1.p1_1, PruarM.4G421100.t1.p1_1, PruarM.4G178100.t1.p1_1, PruarM.1G290500.t1.p1_1, PruarM.6G197900.t1.p1_1, PruarM.2G163600.t1.p1_1, PruarM.4G227200.t1.p1_1, PruarM.4G289200.t1.p1_1, PruarM.4G289200.t2.p1_1, PruarM.4G289200.t3.p1_1, PruarM.4G421200.t1.p1_1, PruarM.6G302900.t1.p1_1, PruarM.6G302900.t2.p1_1, PruarM.6G197800.t1.p1_1, PruarM.7G329700.t1.p1_1, PruarM.8G165300.t1.p1_1, PruarM.1G198600.t1.p1_1	36596_0_00096d
OG0000102	OrthoDB_Prunus_armeniaca_Orared	PruarM.2G219200.t1.p1_1	36596_0_002308
OG0000102	OrthoDB_Prunus_armeniaca_Orared	PruarM.7G228800.t1.p1_1	36596_0_005f6f
OG0000102	OrthoDB_Prunus_armeniaca_Orared	PruarM.8G015800.t2.p1_1, PruarM.8G015800.t1.p1_1, PruarM.8G016000.t1.p1_1	36596_0_006bf6, 36596_0_007592
OG0000102	OrthoDB_Prunus_armeniaca_Orared	PruarM.8G016300.t1.p1_1	36596_0_00734e
OG0000102	OrthoDB_Prunus_armeniaca_Orared	PruarM.8G015500.t1.p1_1, PruarM.8G015900.t1.p1_1	36596_0_00700e
OG0000102	OrthoDB_Prunus_armeniaca_Orared	PruarM.2G490500.t1.p1_1	36596_0_002528
OG0000102	OrthoDB_Prunus_armeniaca_Orared	PruarM.5G193000.t1.p1_1	36596_0_004c98
OG0000102	OrthoDB_Prunus_armeniaca_Orared	PruarM.5G193200.t1.p1_1	36596_0_004501
OG0000102	OrthoDB_Prunus_armeniaca_Orared	PruarM.2G364200.t1.p1_1	36596_0_001bf1
OG0000103	OrthoDB_Prunus_armeniaca_Orared	PruarM.7G286800.t1.p1_1	36596_0_0061c8
OG0000103	OrthoDB_Prunus_armeniaca_Orared	PruarM.7G286700.t1.p1_1	36596_0_00640b
OG0000103	OrthoDB_Prunus_armeniaca_Orared	PruarM.6G023000.t1.p1_1	36596_0_00585c
OG0000103	OrthoDB_Prunus_armeniaca_Orared	PruarM.6G023100.t1.p1_1	36596_0_00700f
OG0000103	OrthoDB_Prunus_armeniaca_Orared	PruarM.8G260400.t1.p1_1, PruarM.2G292000.t1.p1_1, PruarM.2G292900.t1.p1_1, PruarM.2G292800.t1.p1_1, PruarM.6G434900.t1.p1_1, PruarM.6G435000.t1.p1_1, PruarM.8G259100.t1.p1_1, PruarM.8G260300.t1.p1_1, PruarM.8G259600.t1.p1_1, PruarM.2G291800.t1.p1_1, PruarM.2G292700.t1.p1_1, PruarM.8G258900.t1.p1_1, PruarM.2G294000.t1.p1_1, PruarM.8G260500.t1.p1_1, PruarM.6G435500.t1.p1_1, PruarM.8G259200.t1.p1_1, PruarM.8G260000.t1.p1_1, PruarM.2G294100.t1.p1_1, PruarM.8G260600.t1.p1_1	36596_0_007116, 36596_0_0073e3
OG0000104	OrthoDB_Prunus_armeniaca_Orared	PruarM.7G166900.t1.p1_1	36596_0_005f03, 36596_0_006988
OG0000104	OrthoDB_Prunus_armeniaca_Orared	PruarM.3G222400.t1.p1_1, PruarM.4G348800.t1.p1_1, PruarM.1G743700.t1.p1_1, PruarM.1G743800.t1.p1_1, PruarM.5G031200.t1.p1_1, PruarM.6G185100.t1.p1_1, PruarM.6G423700.t1.p1_1, PruarM.1G289900.t1.p1_1, PruarM.3G121900.t1.p1_1, PruarM.3G208300.t1.p1_1, PruarM.5G172700.t1.p1_1, PruarM.1G210900.t1.p1_1, PruarM.2G051700.t1.p1_1, PruarM.2G051700.t2.p1_1, PruarM.1G253200.t1.p1_1, PruarM.5G016100.t1.p1_1, PruarM.1G268100.t1.p1_1, PruarM.2G226400.t1.p1_1, PruarM.8G061000.t1.p1_1, PruarM.4G250300.t1.p1_1, PruarM.4G413000.t1.p1_1, PruarM.7G088400.t1.p1_1, PruarM.1G317100.t1.p1_1, PruarM.6G065500.t1.p1_1, PruarM.3G278200.t1.p1_1, PruarM.6G219200.t1.p1_1, PruarM.1G314200.t1.p1_1, PruarM.6G307800.t1.p1_1, PruarM.1G389700.t1.p1_1, PruarM.8G087000.t1.p1_1, PruarM.1G457400.t1.p1_1, PruarM.2G361700.t1.p1_1, PruarM.1G809300.t1.p1_1	36596_0_0005ef
OG0000105	OrthoDB_Prunus_armeniaca_Orared	PruarM.1G636900.t1.p1_1	36596_0_0013d2
OG0000105	OrthoDB_Prunus_armeniaca_Orared	PruarM.3G309500.t1.p1_1	36596_0_002868, 36596_0_002fef, 36596_0_0047c2
OG0000105	OrthoDB_Prunus_armeniaca_Orared	PruarM.3G068900.t1.p1_1, PruarM.3G068900.t2.p1_1	36596_0_002e0b
OG0000105	OrthoDB_Prunus_armeniaca_Orared	PruarM.3G068300.t1.p1_1	36596_0_0033a3
OG0000105	OrthoDB_Prunus_armeniaca_Orared	PruarM.3G068600.t1.p1_1	36596_0_003677
OG0000105	OrthoDB_Prunus_armeniaca_Orared	PruarM.3G066200.t1.p1_1	36596_0_0030c2, 36596_0_00305c
OG0000105	OrthoDB_Prunus_armeniaca_Orared	PruarM.3G068700.t1.p1_1	36596_0_00512f
OG0000105	OrthoDB_Prunus_armeniaca_Orared	PruarM.3G068800.t1.p1_1	36596_0_0028e8
OG0000105	OrthoDB_Prunus_armeniaca_Orared	PruarM.3G066800.t2.p1_1, PruarM.3G066800.t1.p1_1	36596_0_002e30
OG0000105	OrthoDB_Prunus_armeniaca_Orared	PruarM.3G068400.t1.p1_1	36596_0_00332a, 36596_0_003359
OG0000105	OrthoDB_Prunus_armeniaca_Orared	PruarM.3G066900.t1.p1_1	36596_0_002ee3, 36596_0_002f16
OG0000105	OrthoDB_Prunus_armeniaca_Orared	PruarM.1G636800.t2.p1_1, PruarM.1G636800.t1.p1_1	36596_0_000ac0
OG0000106	OrthoDB_Prunus_armeniaca_Orared	PruarM.4G215000.t1.p1_1	36596_0_003c09
OG0000106	OrthoDB_Prunus_armeniaca_Orared	PruarM.4G214300.t1.p1_1, PruarM.4G214800.t1.p1_1, PruarM.4G310600.t1.p1_1, PruarM.4G311300.t1.p1_1, PruarM.4G214900.t1.p1_1, PruarM.4G213600.t1.p1_1, PruarM.4G216300.t1.p1_1, PruarM.4G216800.t1.p1_1, PruarM.4G217300.t1.p1_1, PruarM.4G213800.t1.p1_1, PruarM.4G216700.t1.p1_1, PruarM.4G217200.t1.p1_1, PruarM.4G213300.t1.p1_1, PruarM.2G054900.t1.p1_1, PruarM.2G392300.t1.p1_1, PruarM.4G213200.t1.p1_1, PruarM.4G213400.t1.p1_1, PruarM.4G214500.t1.p1_1, PruarM.4G214400.t1.p1_1, PruarM.6G320400.t1.p1_1, PruarM.6G320700.t1.p1_1, PruarM.8G196700.t1.p1_1, PruarM.4G214700.t1.p1_1, PruarM.4G212000.t1.p1_1, PruarM.4G211600.t2.p1_1, PruarM.4G211600.t1.p1_1, PruarM.4G212600.t1.p1_1, PruarM.4G213100.t1.p1_1, PruarM.4G213000.t1.p1_1, PruarM.4G211800.t1.p1_1, PruarM.4G212100.t1.p1_1, PruarM.4G211900.t1.p1_1, PruarM.4G212500.t1.p1_1	36596_0_003a2f
OG0000107	OrthoDB_Prunus_armeniaca_Orared	PruarM.4G170100.t1.p1_1	36596_0_003fe1, 36596_0_0040a0
OG0000107	OrthoDB_Prunus_armeniaca_Orared	PruarM.4G170500.t1.p1_1, PruarM.4G170900.t1.p1_1, PruarM.4G171200.t1.p1_1, PruarM.4G170600.t1.p1_1, PruarM.4G171700.t1.p1_1, PruarM.4G170800.t1.p1_1, PruarM.4G171600.t1.p1_1, PruarM.4G169500.t1.p1_1, PruarM.4G170400.t1.p1_1, PruarM.4G170200.t1.p1_1, PruarM.4G170700.t1.p1_1, PruarM.4G169300.t1.p1_1, PruarM.4G169700.t1.p1_1, PruarM.4G260800.t1.p1_1, PruarM.4G260900.t1.p1_1, PruarM.1G191600.t1.p1_1, PruarM.7G292600.t1.p1_1, PruarM.7G292900.t1.p1_1, PruarM.7G294200.t1.p1_1, PruarM.3G249600.t1.p1_1, PruarM.6G353800.t1.p1_1, PruarM.7G292700.t1.p1_1, PruarM.7G291700.t1.p1_1, PruarM.7G292300.t1.p1_1, PruarM.7G292500.t1.p1_1, PruarM.7G291200.t1.p1_1, PruarM.3G249700.t1.p1_1, PruarM.4G045500.t1.p1_1, PruarM.5G087300.t1.p1_1, PruarM.4G169600.t1.p1_1	36596_0_003bb4, 36596_0_003bd3
OG0000109	OrthoDB_Prunus_armeniaca_Orared	PruarM.1G768400.t1.p1_1	36596_0_0002c5
OG0000109	OrthoDB_Prunus_armeniaca_Orared	PruarM.1G757200.t1.p1_1	36596_0_000887, 36596_0_001644
OG0000109	OrthoDB_Prunus_armeniaca_Orared	PruarM.1G747100.t1.p1_1, PruarM.1G757600.t1.p1_1, PruarM.1G757600.t2.p1_1	36596_0_00158c
OG0000109	OrthoDB_Prunus_armeniaca_Orared	PruarM.2G473900.t1.p1_1	36596_0_002778
OG0000109	OrthoDB_Prunus_armeniaca_Orared	PruarM.3G275400.t1.p1_1, PruarM.6G059800.t1.p1_1, PruarM.6G060000.t1.p1_1, PruarM.6G059900.t1.p1_1, PruarM.3G275600.t1.p1_1, PruarM.3G275900.t1.p1_1, PruarM.3G276300.t1.p1_1, PruarM.3G276600.t1.p1_1, PruarM.3G277200.t1.p1_1, PruarM.3G277300.t1.p1_1, PruarM.3G278400.t1.p1_1, PruarM.3G277900.t1.p1_1, PruarM.3G277600.t1.p1_1, PruarM.3G278600.t1.p1_1, PruarM.3G278700.t1.p1_1, PruarM.3G278000.t1.p1_1, PruarM.3G278500.t1.p1_1, PruarM.4G135400.t1.p1_1, PruarM.5G169900.t1.p1_1	36596_0_004972
OG0000109	OrthoDB_Prunus_armeniaca_Orared	PruarM.1G768600.t1.p1_1	36596_0_00018c
OG0000110	OrthoDB_Prunus_armeniaca_Orared	PruarM.1G572500.t1.p1_1	36596_0_001489
OG0000110	OrthoDB_Prunus_armeniaca_Orared	PruarM.7G270100.t1.p1_1	36596_0_00694f
OG0000110	OrthoDB_Prunus_armeniaca_Orared	PruarM.7G181700.t1.p1_1	36596_0_006377
OG0000110	OrthoDB_Prunus_armeniaca_Orared	PruarM.6G013500.t1.p1_1	36596_0_0051c0, 36596_0_00592a
OG0000110	OrthoDB_Prunus_armeniaca_Orared	PruarM.6G013900.t1.p1_1	36596_0_005ca7
OG0000110	OrthoDB_Prunus_armeniaca_Orared	PruarM.2G428700.t1.p1_1	36596_0_001b02
OG0000110	OrthoDB_Prunus_armeniaca_Orared	PruarM.6G051000.t1.p1_1	36596_0_0053f5, 36596_0_0056d3
OG0000110	OrthoDB_Prunus_armeniaca_Orared	PruarM.2G428800.t1.p1_1	36596_0_0027e3
OG0000110	OrthoDB_Prunus_armeniaca_Orared	PruarM.2G428500.t1.p1_1	36596_0_00518e, 36596_0_005633, 36596_0_0056c9, 36596_0_005705, 36596_0_0058b0, 36596_0_001d4f
OG0000110	OrthoDB_Prunus_armeniaca_Orared	PruarM.3G144000.t1.p1_1	36596_0_0032d0
OG0000110	OrthoDB_Prunus_armeniaca_Orared	PruarM.6G410900.t1.p1_1	36596_0_005c2b, 36596_0_00514f, 36596_0_0056b3
OG0000110	OrthoDB_Prunus_armeniaca_Orared	PruarM.1G539300.t1.p1_1	36596_0_0003a6
OG0000111	OrthoDB_Prunus_armeniaca_Orared	PruarM.6G435600.t1.p1_1	36596_0_0051c5
OG0000111	OrthoDB_Prunus_armeniaca_Orared	PruarM.5G038000.t1.p1_1, PruarM.5G038100.t1.p1_1	36596_0_004ab2
OG0000111	OrthoDB_Prunus_armeniaca_Orared	PruarM.1G734100.t1.p1_1, PruarM.2G439600.t1.p1_1, PruarM.1G794100.t1.p1_1, PruarM.1G797200.t1.p1_1, PruarM.1G794300.t1.p1_1, PruarM.1G794600.t1.p1_1, PruarM.4G175000.t1.p1_1, PruarM.4G134500.t1.p1_1, PruarM.7G105000.t1.p1_1, PruarM.7G105400.t1.p1_1, PruarM.7G105600.t1.p1_1, PruarM.7G105800.t1.p1_1, PruarM.7G107400.t1.p1_1, PruarM.7G105300.t1.p1_1, PruarM.7G105500.t1.p1_1, PruarM.7G105700.t1.p1_1	36596_0_0063f5
OG0000111	OrthoDB_Prunus_armeniaca_Orared	PruarM.3G011700.t1.p1_1, PruarM.3G080300.t1.p1_1, PruarM.1G031900.t1.p1_1	36596_0_001917
OG0000112	OrthoDB_Prunus_armeniaca_Orared	PruarM.3G089900.t1.p1_1	36596_0_003c2d
OG0000112	OrthoDB_Prunus_armeniaca_Orared	PruarM.3G086400.t1.p1_1, PruarM.3G086500.t1.p1_1, PruarM.4G073700.t1.p1_1, PruarM.1G074500.t1.p1_1, PruarM.5G002200.t1.p1_1, PruarM.5G003300.t1.p1_1, PruarM.7G322400.t1.p1_1, PruarM.7G322800.t1.p1_1, PruarM.7G322600.t1.p1_1, PruarM.7G323000.t1.p1_1, PruarM.5G002300.t1.p1_1, PruarM.7G255400.t1.p1_1, PruarM.4G087100.t1.p1_1, PruarM.4G074200.t1.p1_1, PruarM.4G073600.t1.p1_1, PruarM.4G073800.t1.p1_1, PruarM.4G074300.t1.p1_1, PruarM.4G073900.t1.p1_1, PruarM.4G074400.t1.p1_1, PruarM.4G074100.t1.p1_1, PruarM.5G003400.t1.p1_1, PruarM.7G298700.t1.p1_1, PruarM.5G241800.t1.p1_1, PruarM.5G002900.t1.p1_1, PruarM.5G003000.t1.p1_1, PruarM.5G004000.t1.p1_1	36596_0_004460
OG0000112	OrthoDB_Prunus_armeniaca_Orared	PruarM.3G086300.t1.p1_1, PruarM.3G090200.t1.p1_1, PruarM.3G090200.t2.p1_1	36596_0_00297d, 36596_0_003271
OG0000113	OrthoDB_Prunus_armeniaca_Orared	PruarM.1G249600.t1.p1_1	36596_0_001033, 36596_0_00652b
OG0000113	OrthoDB_Prunus_armeniaca_Orared	PruarM.7G042700.t1.p1_1	36596_0_003301, 36596_0_006861
OG0000113	OrthoDB_Prunus_armeniaca_Orared	PruarM.7G084000.t1.p1_1	36596_0_0056e4, 36596_0_0065ab
OG0000113	OrthoDB_Prunus_armeniaca_Orared	PruarM.3G021100.t1.p1_1, PruarM.1G313900.t1.p1_1, PruarM.2G146800.t1.p1_1, PruarM.3G162000.t1.p1_1	36596_0_0047c8
OG0000113	OrthoDB_Prunus_armeniaca_Orared	PruarM.1G307600.t1.p1_1, PruarM.2G096400.t1.p1_1, PruarM.3G193800.t1.p1_1, PruarM.4G445100.t1.p1_1, PruarM.5G099300.t1.p1_1, PruarM.3G229000.t1.p1_1, PruarM.1G343300.t1.p1_1, PruarM.3G227000.t1.p1_1, PruarM.7G075000.t1.p1_1, PruarM.1G810700.t1.p1_1, PruarM.2G099000.t1.p1_1, PruarM.7G065100.t1.p1_1, PruarM.8G132900.t1.p1_1, PruarM.7G310800.t1.p1_1, PruarM.1G675800.t1.p1_1, PruarM.1G368200.t1.p1_1, PruarM.1G370300.t1.p1_1	36596_0_000056
OG0000114	OrthoDB_Prunus_armeniaca_Orared	PruarM.5G112600.t1.p1_1	36596_0_004637
OG0000114	OrthoDB_Prunus_armeniaca_Orared	PruarM.3G135600.t1.p1_1	36596_0_002fbb
OG0000114	OrthoDB_Prunus_armeniaca_Orared	PruarM.3G136900.t1.p1_1	36596_0_003232
OG0000114	OrthoDB_Prunus_armeniaca_Orared	PruarM.4G178200.t1.p1_1, PruarM.4G275000.t1.p1_1	36596_0_003eb6, 36596_0_00237f
OG0000114	OrthoDB_Prunus_armeniaca_Orared	PruarM.4G177900.t1.p1_1, PruarM.4G177900.t2.p1_1, PruarM.4G275100.t1.p1_1	36596_0_001cb1
