source	target	interaction	directed	reaction_type	reaction_id	source_edge_type	target_edge_type
tRNA-adenine	prenyl-tRNA	activation	True	catalysis	rx00323	SUBSTRATE	PRODUCT
DMAPP	prenyl-tRNA	activation	True	catalysis	rx00323	SUBSTRATE	PRODUCT
cZ-riboside	AT5G03300	activation	True	catalysis	rx00333	SUBSTRATE	ACTIVATES
cZ-riboside	AT3G09820	activation	True	catalysis	rx00333	SUBSTRATE	ACTIVATES
AT5G03300	cZ-ribotide	activation	True	catalysis	rx00333	ACTIVATES	PRODUCT
AT3G09820	cZ-ribotide	activation	True	catalysis	rx00333	ACTIVATES	PRODUCT
cZ-riboside	cZ-ribotide	activation	True	catalysis	rx00333	SUBSTRATE	PRODUCT
cZ	AT2G36750	activation	True	catalysis	rx00336	SUBSTRATE	ACTIVATES
cZ	AT2G36800	activation	True	catalysis	rx00336	SUBSTRATE	ACTIVATES
cZ	AT1G22400	activation	True	catalysis	rx00336	SUBSTRATE	ACTIVATES
cZ	AT5G05860	activation	True	catalysis	rx00336	SUBSTRATE	ACTIVATES
cZ	AT5G05870	activation	True	catalysis	rx00336	SUBSTRATE	ACTIVATES
UDP-Glc	AT2G36750	activation	True	catalysis	rx00336	SUBSTRATE	ACTIVATES
UDP-Glc	AT2G36800	activation	True	catalysis	rx00336	SUBSTRATE	ACTIVATES
UDP-Glc	AT1G22400	activation	True	catalysis	rx00336	SUBSTRATE	ACTIVATES
UDP-Glc	AT5G05860	activation	True	catalysis	rx00336	SUBSTRATE	ACTIVATES
UDP-Glc	AT5G05870	activation	True	catalysis	rx00336	SUBSTRATE	ACTIVATES
AT2G36750	cZ-glucosides	activation	True	catalysis	rx00336	ACTIVATES	PRODUCT
AT2G36800	cZ-glucosides	activation	True	catalysis	rx00336	ACTIVATES	PRODUCT
AT1G22400	cZ-glucosides	activation	True	catalysis	rx00336	ACTIVATES	PRODUCT
AT5G05860	cZ-glucosides	activation	True	catalysis	rx00336	ACTIVATES	PRODUCT
AT5G05870	cZ-glucosides	activation	True	catalysis	rx00336	ACTIVATES	PRODUCT
cZ	cZ-glucosides	activation	True	catalysis	rx00336	SUBSTRATE	PRODUCT
UDP-Glc	cZ-glucosides	activation	True	catalysis	rx00336	SUBSTRATE	PRODUCT
VPg	AT3G26520	inhibition	False	binding/oligomerisation	rx00670	SUBSTRATE	SUBSTRATE
AT3G26520	VPg	inhibition	False	binding/oligomerisation	rx00670	SUBSTRATE	SUBSTRATE
DZ-riboside	AT5G03300	activation	True	catalysis	rx00345	SUBSTRATE	ACTIVATES
DZ-riboside	AT3G09820	activation	True	catalysis	rx00345	SUBSTRATE	ACTIVATES
AT5G03300	DZ-ribotide	activation	True	catalysis	rx00345	ACTIVATES	PRODUCT
AT3G09820	DZ-ribotide	activation	True	catalysis	rx00345	ACTIVATES	PRODUCT
DZ-riboside	DZ-ribotide	activation	True	catalysis	rx00345	SUBSTRATE	PRODUCT
tZ	AT5G35750	activation	True	protein activation	rx00384	ACTIVATES	PRODUCT
tZ	AT1G27320	activation	True	protein activation	rx00384	ACTIVATES	PRODUCT
tZ	AT2G01830	activation	True	protein activation	rx00384	ACTIVATES	PRODUCT
cZ	AT5G35750	activation	True	protein activation	rx00385	SUBSTRATE	PRODUCT
cZ	AT1G27320	activation	True	protein activation	rx00385	SUBSTRATE	PRODUCT
cZ	AT2G01830	activation	True	protein activation	rx00385	SUBSTRATE	PRODUCT
DZ	AT5G35750	activation	True	protein activation	rx00386	ACTIVATES	PRODUCT
DZ	AT1G27320	activation	True	protein activation	rx00386	ACTIVATES	PRODUCT
DZ	AT2G01830	activation	True	protein activation	rx00386	ACTIVATES	PRODUCT
iP	AT5G35750	activation	True	protein activation	rx00387	ACTIVATES	PRODUCT
iP	AT1G27320	activation	True	protein activation	rx00387	ACTIVATES	PRODUCT
iP	AT2G01830	activation	True	protein activation	rx00387	ACTIVATES	PRODUCT
L-Met	AT1G02500	activation	True	catalysis	rx00001	SUBSTRATE	PRODUCT
L-Met	AT2G36880	activation	True	catalysis	rx00001	SUBSTRATE	PRODUCT
L-Met	AT3G17390	activation	True	catalysis	rx00001	SUBSTRATE	PRODUCT
L-Met	AT4G01850	activation	True	catalysis	rx00001	SUBSTRATE	PRODUCT
AT1G02500	SAMe	activation	True	catalysis	rx00001	PRODUCT	PRODUCT
AT2G36880	SAMe	activation	True	catalysis	rx00001	PRODUCT	PRODUCT
AT3G17390	SAMe	activation	True	catalysis	rx00001	PRODUCT	PRODUCT
AT4G01850	SAMe	activation	True	catalysis	rx00001	PRODUCT	PRODUCT
L-Met	SAMe	activation	True	catalysis	rx00001	SUBSTRATE	PRODUCT
AT1G64280	AT1G09415	inhibition	False	binding/oligomerisation	rx00100	SUBSTRATE	SUBSTRATE
AT1G64280	AT3G25882	inhibition	False	binding/oligomerisation	rx00100	SUBSTRATE	SUBSTRATE
AT1G64280	AT1G02450	inhibition	False	binding/oligomerisation	rx00100	SUBSTRATE	SUBSTRATE
AT1G09415	AT1G64280	inhibition	False	binding/oligomerisation	rx00100	SUBSTRATE	SUBSTRATE
AT3G25882	AT1G64280	inhibition	False	binding/oligomerisation	rx00100	SUBSTRATE	SUBSTRATE
AT1G02450	AT1G64280	inhibition	False	binding/oligomerisation	rx00100	SUBSTRATE	SUBSTRATE
SAMe	AT1G01480	activation	True	catalysis	rx00002	PRODUCT	ACTIVATES
SAMe	AT2G22810	activation	True	catalysis	rx00002	PRODUCT	ACTIVATES
SAMe	AT3G49700	activation	True	catalysis	rx00002	PRODUCT	ACTIVATES
SAMe	AT3G61510	activation	True	catalysis	rx00002	PRODUCT	ACTIVATES
SAMe	AT4G08040	activation	True	catalysis	rx00002	PRODUCT	ACTIVATES
SAMe	AT4G11280	activation	True	catalysis	rx00002	PRODUCT	ACTIVATES
SAMe	AT4G26200	activation	True	catalysis	rx00002	PRODUCT	ACTIVATES
SAMe	AT4G37770	activation	True	catalysis	rx00002	PRODUCT	ACTIVATES
SAMe	AT5G65800	activation	True	catalysis	rx00002	PRODUCT	ACTIVATES
AT1G01480	ACC	activation	True	catalysis	rx00002	ACTIVATES	PRODUCT
AT2G22810	ACC	activation	True	catalysis	rx00002	ACTIVATES	PRODUCT
AT3G49700	ACC	activation	True	catalysis	rx00002	ACTIVATES	PRODUCT
AT3G61510	ACC	activation	True	catalysis	rx00002	ACTIVATES	PRODUCT
AT4G08040	ACC	activation	True	catalysis	rx00002	ACTIVATES	PRODUCT
AT4G11280	ACC	activation	True	catalysis	rx00002	ACTIVATES	PRODUCT
AT4G26200	ACC	activation	True	catalysis	rx00002	ACTIVATES	PRODUCT
AT4G37770	ACC	activation	True	catalysis	rx00002	ACTIVATES	PRODUCT
AT5G65800	ACC	activation	True	catalysis	rx00002	ACTIVATES	PRODUCT
SAMe	ACC	activation	True	catalysis	rx00002	PRODUCT	PRODUCT
ACC	AT1G77330	activation	True	catalysis	rx00003	PRODUCT	ACTIVATES
ACC	AT1G05010	activation	True	catalysis	rx00003	PRODUCT	ACTIVATES
ACC	AT1G62380	activation	True	catalysis	rx00003	PRODUCT	ACTIVATES
ACC	AT1G12010	activation	True	catalysis	rx00003	PRODUCT	ACTIVATES
ACC	AT2G19590	activation	True	catalysis	rx00003	PRODUCT	ACTIVATES
AT1G77330	ET	activation	True	catalysis	rx00003	ACTIVATES	PRODUCT
AT1G05010	ET	activation	True	catalysis	rx00003	ACTIVATES	PRODUCT
AT1G62380	ET	activation	True	catalysis	rx00003	ACTIVATES	PRODUCT
AT1G12010	ET	activation	True	catalysis	rx00003	ACTIVATES	PRODUCT
AT2G19590	ET	activation	True	catalysis	rx00003	ACTIVATES	PRODUCT
ACC	ET	activation	True	catalysis	rx00003	PRODUCT	PRODUCT
ALA	MDA	activation	True	catalysis	rx00014	SUBSTRATE	PRODUCT
ROS	MDA	activation	True	catalysis	rx00014	SUBSTRATE	PRODUCT
Thr	AT3G10050	activation	True	catalysis	rx00020	SUBSTRATE	ACTIVATES
AT3G10050	Ile	activation	True	catalysis	rx00020	ACTIVATES	PRODUCT
Thr	Ile	activation	True	catalysis	rx00020	SUBSTRATE	PRODUCT
ALA	AT1G55020	activation	True	catalysis	rx00026	SUBSTRATE	ACTIVATES
ALA	AT1G17420	activation	True	catalysis	rx00026	SUBSTRATE	ACTIVATES
ALA	AT1G67560	activation	True	catalysis	rx00026	SUBSTRATE	ACTIVATES
ALA	AT1G72520	activation	True	catalysis	rx00026	SUBSTRATE	ACTIVATES
ALA	AT3G22400	activation	True	catalysis	rx00026	SUBSTRATE	ACTIVATES
ALA	AT3G45140	activation	True	catalysis	rx00026	SUBSTRATE	ACTIVATES
AT1G55020	13-HPOT	activation	True	catalysis	rx00026	ACTIVATES	PRODUCT
AT1G17420	13-HPOT	activation	True	catalysis	rx00026	ACTIVATES	PRODUCT
AT1G67560	13-HPOT	activation	True	catalysis	rx00026	ACTIVATES	PRODUCT
AT1G72520	13-HPOT	activation	True	catalysis	rx00026	ACTIVATES	PRODUCT
AT3G22400	13-HPOT	activation	True	catalysis	rx00026	ACTIVATES	PRODUCT
AT3G45140	13-HPOT	activation	True	catalysis	rx00026	ACTIVATES	PRODUCT
ALA	13-HPOT	activation	True	catalysis	rx00026	SUBSTRATE	PRODUCT
13-HPOT	AT5G42650	activation	True	catalysis	rx00029	PRODUCT	ACTIVATES
AT5G42650	12,13-EOT	activation	True	catalysis	rx00029	ACTIVATES	PRODUCT
13-HPOT	12,13-EOT	activation	True	catalysis	rx00029	PRODUCT	PRODUCT
12,13-EOT	AT3G25770	activation	True	catalysis	rx00030	PRODUCT	ACTIVATES
12,13-EOT	AT1G13280	activation	True	catalysis	rx00030	PRODUCT	ACTIVATES
12,13-EOT	AT3G25780	activation	True	catalysis	rx00030	PRODUCT	ACTIVATES
12,13-EOT	AT3G25760	activation	True	catalysis	rx00030	PRODUCT	ACTIVATES
AT3G25770	OPDA	activation	True	catalysis	rx00030	ACTIVATES	PRODUCT
AT1G13280	OPDA	activation	True	catalysis	rx00030	ACTIVATES	PRODUCT
AT3G25780	OPDA	activation	True	catalysis	rx00030	ACTIVATES	PRODUCT
AT3G25760	OPDA	activation	True	catalysis	rx00030	ACTIVATES	PRODUCT
12,13-EOT	OPDA	activation	True	catalysis	rx00030	PRODUCT	PRODUCT
OPDA	AT1G76680	activation	True	catalysis	rx00033	PRODUCT	ACTIVATES
OPDA	AT1G76690	activation	True	catalysis	rx00033	PRODUCT	ACTIVATES
OPDA	AT2G06050	activation	True	catalysis	rx00033	PRODUCT	ACTIVATES
AT1G76680	OPC8	activation	True	catalysis	rx00033	ACTIVATES	PRODUCT
AT1G76690	OPC8	activation	True	catalysis	rx00033	ACTIVATES	PRODUCT
AT2G06050	OPC8	activation	True	catalysis	rx00033	ACTIVATES	PRODUCT
OPDA	OPC8	activation	True	catalysis	rx00033	PRODUCT	PRODUCT
TNL[unknown]	potyvirus	binding	False	binding/oligomerisation	rx00107	SUBSTRATE	SUBSTRATE
potyvirus	TNL[unknown]	binding	False	binding/oligomerisation	rx00107	SUBSTRATE	SUBSTRATE
TNL[unknown]	R-gene|potyvirus	activation	True	binding/oligomerisation	rx00107	SUBSTRATE	PRODUCT
potyvirus	R-gene|potyvirus	activation	True	binding/oligomerisation	rx00107	SUBSTRATE	PRODUCT
AT1G43140	AT5G20570	binding	False	binding/oligomerisation	rx00110	SUBSTRATE	SUBSTRATE
AT1G43140	AT3G42830	binding	False	binding/oligomerisation	rx00110	SUBSTRATE	SUBSTRATE
AT1G02980	AT5G20570	binding	False	binding/oligomerisation	rx00110	SUBSTRATE	SUBSTRATE
AT1G02980	AT3G42830	binding	False	binding/oligomerisation	rx00110	SUBSTRATE	SUBSTRATE
AT4G02570	AT5G20570	binding	False	binding/oligomerisation	rx00110	SUBSTRATE	SUBSTRATE
AT4G02570	AT3G42830	binding	False	binding/oligomerisation	rx00110	SUBSTRATE	SUBSTRATE
AT1G43140	AT1G06390	binding	False	binding/oligomerisation	rx00110	SUBSTRATE	SUBSTRATE
AT1G43140	AT1G75950	binding	False	binding/oligomerisation	rx00110	SUBSTRATE	SUBSTRATE
AT1G43140	AT5G42190	binding	False	binding/oligomerisation	rx00110	SUBSTRATE	SUBSTRATE
AT1G02980	AT1G06390	binding	False	binding/oligomerisation	rx00110	SUBSTRATE	SUBSTRATE
AT1G02980	AT1G75950	binding	False	binding/oligomerisation	rx00110	SUBSTRATE	SUBSTRATE
AT1G02980	AT5G42190	binding	False	binding/oligomerisation	rx00110	SUBSTRATE	SUBSTRATE
AT4G02570	AT1G06390	binding	False	binding/oligomerisation	rx00110	SUBSTRATE	SUBSTRATE
AT4G02570	AT1G75950	binding	False	binding/oligomerisation	rx00110	SUBSTRATE	SUBSTRATE
AT4G02570	AT5G42190	binding	False	binding/oligomerisation	rx00110	SUBSTRATE	SUBSTRATE
AT5G20570	AT1G43140	binding	False	binding/oligomerisation	rx00110	SUBSTRATE	SUBSTRATE
AT5G20570	AT1G02980	binding	False	binding/oligomerisation	rx00110	SUBSTRATE	SUBSTRATE
AT5G20570	AT4G02570	binding	False	binding/oligomerisation	rx00110	SUBSTRATE	SUBSTRATE
AT3G42830	AT1G43140	binding	False	binding/oligomerisation	rx00110	SUBSTRATE	SUBSTRATE
AT3G42830	AT1G02980	binding	False	binding/oligomerisation	rx00110	SUBSTRATE	SUBSTRATE
AT3G42830	AT4G02570	binding	False	binding/oligomerisation	rx00110	SUBSTRATE	SUBSTRATE
AT5G20570	AT1G06390	binding	False	binding/oligomerisation	rx00110	SUBSTRATE	SUBSTRATE
AT5G20570	AT1G75950	binding	False	binding/oligomerisation	rx00110	SUBSTRATE	SUBSTRATE
AT5G20570	AT5G42190	binding	False	binding/oligomerisation	rx00110	SUBSTRATE	SUBSTRATE
AT3G42830	AT1G06390	binding	False	binding/oligomerisation	rx00110	SUBSTRATE	SUBSTRATE
AT3G42830	AT1G75950	binding	False	binding/oligomerisation	rx00110	SUBSTRATE	SUBSTRATE
AT3G42830	AT5G42190	binding	False	binding/oligomerisation	rx00110	SUBSTRATE	SUBSTRATE
AT1G06390	AT1G43140	binding	False	binding/oligomerisation	rx00110	SUBSTRATE	SUBSTRATE
AT1G06390	AT1G02980	binding	False	binding/oligomerisation	rx00110	SUBSTRATE	SUBSTRATE
AT1G06390	AT4G02570	binding	False	binding/oligomerisation	rx00110	SUBSTRATE	SUBSTRATE
AT1G75950	AT1G43140	binding	False	binding/oligomerisation	rx00110	SUBSTRATE	SUBSTRATE
AT1G75950	AT1G02980	binding	False	binding/oligomerisation	rx00110	SUBSTRATE	SUBSTRATE
AT1G75950	AT4G02570	binding	False	binding/oligomerisation	rx00110	SUBSTRATE	SUBSTRATE
AT5G42190	AT1G43140	binding	False	binding/oligomerisation	rx00110	SUBSTRATE	SUBSTRATE
AT5G42190	AT1G02980	binding	False	binding/oligomerisation	rx00110	SUBSTRATE	SUBSTRATE
AT5G42190	AT4G02570	binding	False	binding/oligomerisation	rx00110	SUBSTRATE	SUBSTRATE
AT1G06390	AT5G20570	binding	False	binding/oligomerisation	rx00110	SUBSTRATE	SUBSTRATE
AT1G06390	AT3G42830	binding	False	binding/oligomerisation	rx00110	SUBSTRATE	SUBSTRATE
AT1G75950	AT5G20570	binding	False	binding/oligomerisation	rx00110	SUBSTRATE	SUBSTRATE
AT1G75950	AT3G42830	binding	False	binding/oligomerisation	rx00110	SUBSTRATE	SUBSTRATE
AT5G42190	AT5G20570	binding	False	binding/oligomerisation	rx00110	SUBSTRATE	SUBSTRATE
AT5G42190	AT3G42830	binding	False	binding/oligomerisation	rx00110	SUBSTRATE	SUBSTRATE
AT1G43140	SCF	activation	True	binding/oligomerisation	rx00110	SUBSTRATE	SUBSTRATE
AT1G02980	SCF	activation	True	binding/oligomerisation	rx00110	SUBSTRATE	SUBSTRATE
AT4G02570	SCF	activation	True	binding/oligomerisation	rx00110	SUBSTRATE	SUBSTRATE
AT5G20570	SCF	activation	True	binding/oligomerisation	rx00110	SUBSTRATE	SUBSTRATE
AT3G42830	SCF	activation	True	binding/oligomerisation	rx00110	SUBSTRATE	SUBSTRATE
AT1G06390	SCF	activation	True	binding/oligomerisation	rx00110	SUBSTRATE	SUBSTRATE
AT1G75950	SCF	activation	True	binding/oligomerisation	rx00110	SUBSTRATE	SUBSTRATE
AT5G42190	SCF	activation	True	binding/oligomerisation	rx00110	SUBSTRATE	SUBSTRATE
OPC8	AT1G20510	activation	True	catalysis	rx00034	PRODUCT	ACTIVATES
AT1G20510	OPC8-CoA	activation	True	catalysis	rx00034	ACTIVATES	PRODUCT
OPC8	OPC8-CoA	activation	True	catalysis	rx00034	PRODUCT	PRODUCT
OPC8-CoA	AT1G06290	activation	True	catalysis	rx00035	PRODUCT	PRODUCT
OPC8-CoA	AT2G35690	activation	True	catalysis	rx00035	PRODUCT	PRODUCT
OPC8-CoA	AT4G16760	activation	True	catalysis	rx00035	PRODUCT	PRODUCT
OPC8-CoA	AT5G65110	activation	True	catalysis	rx00035	PRODUCT	PRODUCT
AT1G06290	OPC6-CoA	activation	True	catalysis	rx00035	PRODUCT	PRODUCT
AT2G35690	OPC6-CoA	activation	True	catalysis	rx00035	PRODUCT	PRODUCT
AT4G16760	OPC6-CoA	activation	True	catalysis	rx00035	PRODUCT	PRODUCT
AT5G65110	OPC6-CoA	activation	True	catalysis	rx00035	PRODUCT	PRODUCT
OPC8-CoA	OPC6-CoA	activation	True	catalysis	rx00035	PRODUCT	PRODUCT
OPC6-CoA	AT3G06860	activation	True	catalysis	rx00036	PRODUCT	ACTIVATES
OPC6-CoA	AT3G15290	activation	True	catalysis	rx00036	PRODUCT	ACTIVATES
OPC6-CoA	AT4G29010	activation	True	catalysis	rx00036	PRODUCT	ACTIVATES
AT3G06860	OPC4-CoA	activation	True	catalysis	rx00036	ACTIVATES	PRODUCT
AT3G15290	OPC4-CoA	activation	True	catalysis	rx00036	ACTIVATES	PRODUCT
AT4G29010	OPC4-CoA	activation	True	catalysis	rx00036	ACTIVATES	PRODUCT
OPC6-CoA	OPC4-CoA	activation	True	catalysis	rx00036	PRODUCT	PRODUCT
OPC4-CoA	AT1G04710	activation	True	catalysis	rx00037	PRODUCT	ACTIVATES
OPC4-CoA	AT2G33150	activation	True	catalysis	rx00037	PRODUCT	ACTIVATES
OPC4-CoA	AT5G48880	activation	True	catalysis	rx00037	PRODUCT	ACTIVATES
AT1G04710	JA-CoA	activation	True	catalysis	rx00037	ACTIVATES	PRODUCT
AT2G33150	JA-CoA	activation	True	catalysis	rx00037	ACTIVATES	PRODUCT
AT5G48880	JA-CoA	activation	True	catalysis	rx00037	ACTIVATES	PRODUCT
OPC4-CoA	JA-CoA	activation	True	catalysis	rx00037	PRODUCT	PRODUCT
JA-CoA	AT2G30720	activation	True	catalysis	rx00038	PRODUCT	ACTIVATES
JA-CoA	AT5G48370	activation	True	catalysis	rx00038	PRODUCT	ACTIVATES
AT2G30720	JA	activation	True	catalysis	rx00038	ACTIVATES	PRODUCT
AT5G48370	JA	activation	True	catalysis	rx00038	ACTIVATES	PRODUCT
JA-CoA	JA	activation	True	catalysis	rx00038	PRODUCT	PRODUCT
JA	AT1G19640	activation	True	catalysis	rx00040	PRODUCT	ACTIVATES
AT1G19640	MeJA	activation	True	catalysis	rx00040	ACTIVATES	PRODUCT
JA	MeJA	activation	True	catalysis	rx00040	PRODUCT	PRODUCT
Ile	AT4G03400	activation	True	catalysis	rx00041	PRODUCT	ACTIVATES
Ile	AT2G46370	activation	True	catalysis	rx00041	PRODUCT	ACTIVATES
JA	AT4G03400	activation	True	catalysis	rx00041	PRODUCT	ACTIVATES
JA	AT2G46370	activation	True	catalysis	rx00041	PRODUCT	ACTIVATES
AT4G03400	JA-Ile	activation	True	catalysis	rx00041	ACTIVATES	PRODUCT
AT2G46370	JA-Ile	activation	True	catalysis	rx00041	ACTIVATES	PRODUCT
Ile	JA-Ile	activation	True	catalysis	rx00041	PRODUCT	PRODUCT
JA	JA-Ile	activation	True	catalysis	rx00041	PRODUCT	PRODUCT
JA-Ile	AT2G27690	activation	True	catalysis	rx00042	PRODUCT	ACTIVATES
JA-Ile	AT3G48520	activation	True	catalysis	rx00042	PRODUCT	ACTIVATES
AT2G27690	12-OH-JA-Ile	activation	True	catalysis	rx00042	ACTIVATES	PRODUCT
AT3G48520	12-OH-JA-Ile	activation	True	catalysis	rx00042	ACTIVATES	PRODUCT
JA-Ile	12-OH-JA-Ile	activation	True	catalysis	rx00042	PRODUCT	PRODUCT
MeSA	AT2G23560	activation	True	catalysis	rx00056	SUBSTRATE	ACTIVATES
MeSA	AT2G23580	activation	True	catalysis	rx00056	SUBSTRATE	ACTIVATES
MeSA	AT2G23600	activation	True	catalysis	rx00056	SUBSTRATE	ACTIVATES
MeSA	AT2G23620	activation	True	catalysis	rx00056	SUBSTRATE	ACTIVATES
MeSA	AT4G37150	activation	True	catalysis	rx00056	SUBSTRATE	ACTIVATES
AT2G23560	SA	activation	True	catalysis	rx00056	ACTIVATES	PRODUCT
AT2G23580	SA	activation	True	catalysis	rx00056	ACTIVATES	PRODUCT
AT2G23600	SA	activation	True	catalysis	rx00056	ACTIVATES	PRODUCT
AT2G23620	SA	activation	True	catalysis	rx00056	ACTIVATES	PRODUCT
AT4G37150	SA	activation	True	catalysis	rx00056	ACTIVATES	PRODUCT
MeSA	SA	activation	True	catalysis	rx00056	SUBSTRATE	PRODUCT
VPg	AT5G48160	inhibition	False	binding/oligomerisation	rx00620	SUBSTRATE	SUBSTRATE
AT5G48160	VPg	inhibition	False	binding/oligomerisation	rx00620	SUBSTRATE	SUBSTRATE
Chor	AT1G18870	activation	True	catalysis	rx00069	SUBSTRATE	ACTIVATES
Chor	AT1G74710	activation	True	catalysis	rx00069	SUBSTRATE	ACTIVATES
AT1G18870	IsoChor	activation	True	catalysis	rx00069	ACTIVATES	PRODUCT
AT1G74710	IsoChor	activation	True	catalysis	rx00069	ACTIVATES	PRODUCT
Chor	IsoChor	activation	True	catalysis	rx00069	SUBSTRATE	PRODUCT
Chor	AT3G29200	activation	True	catalysis	rx00073	SUBSTRATE	ACTIVATES
Chor	AT1G69370	activation	True	catalysis	rx00073	SUBSTRATE	ACTIVATES
Chor	AT5G10870	activation	True	catalysis	rx00073	SUBSTRATE	ACTIVATES
AT3G29200	Prep	activation	True	catalysis	rx00073	ACTIVATES	PRODUCT
AT1G69370	Prep	activation	True	catalysis	rx00073	ACTIVATES	PRODUCT
AT5G10870	Prep	activation	True	catalysis	rx00073	ACTIVATES	PRODUCT
Chor	Prep	activation	True	catalysis	rx00073	SUBSTRATE	PRODUCT
Phe	AT5G04230	activation	True	catalysis	rx00076	SUBSTRATE	ACTIVATES
Phe	AT3G53260	activation	True	catalysis	rx00076	SUBSTRATE	ACTIVATES
Phe	AT2G37040	activation	True	catalysis	rx00076	SUBSTRATE	ACTIVATES
Phe	AT3G10340	activation	True	catalysis	rx00076	SUBSTRATE	ACTIVATES
AT5G04230	CA	activation	True	catalysis	rx00076	ACTIVATES	SUBSTRATE
AT3G53260	CA	activation	True	catalysis	rx00076	ACTIVATES	SUBSTRATE
AT2G37040	CA	activation	True	catalysis	rx00076	ACTIVATES	SUBSTRATE
AT3G10340	CA	activation	True	catalysis	rx00076	ACTIVATES	SUBSTRATE
Phe	CA	activation	True	catalysis	rx00076	SUBSTRATE	SUBSTRATE
CA	AT1G04580	activation	True	catalysis	rx00077	SUBSTRATE	ACTIVATES
CA	AT2G27150	activation	True	catalysis	rx00077	SUBSTRATE	ACTIVATES
CA	AT5G20960	activation	True	catalysis	rx00077	SUBSTRATE	ACTIVATES
AT1G04580	BA	activation	True	catalysis	rx00077	ACTIVATES	PRODUCT
AT2G27150	BA	activation	True	catalysis	rx00077	ACTIVATES	PRODUCT
AT5G20960	BA	activation	True	catalysis	rx00077	ACTIVATES	PRODUCT
CA	BA	activation	True	catalysis	rx00077	SUBSTRATE	PRODUCT
BA	BA2H[unknown]	activation	True	catalysis	rx00078	PRODUCT	ACTIVATES
BA2H[unknown]	SA	activation	True	catalysis	rx00078	ACTIVATES	PRODUCT
BA	SA	activation	True	catalysis	rx00078	PRODUCT	PRODUCT
AT1G32640	AT1G01360	inhibition	False	binding/oligomerisation	rx00459	SUBSTRATE	SUBSTRATE
AT1G32640	AT2G40330	inhibition	False	binding/oligomerisation	rx00459	SUBSTRATE	SUBSTRATE
AT1G01360	AT1G32640	inhibition	False	binding/oligomerisation	rx00459	SUBSTRATE	SUBSTRATE
AT2G40330	AT1G32640	inhibition	False	binding/oligomerisation	rx00459	SUBSTRATE	SUBSTRATE
SA	AT1G34065	activation	True	catalysis	rx00083	PRODUCT	ACTIVATES
SA	AT4G39460	activation	True	catalysis	rx00083	PRODUCT	ACTIVATES
AT1G34065	MeSA	activation	True	catalysis	rx00083	ACTIVATES	SUBSTRATE
AT4G39460	MeSA	activation	True	catalysis	rx00083	ACTIVATES	SUBSTRATE
SA	MeSA	activation	True	catalysis	rx00083	PRODUCT	SUBSTRATE
TORC1	AT3G61960	inhibition	True	protein deactivation	rx00547	ACTIVATES	PRODUCT
SA	AT2G43840	activation	True	catalysis	rx00086	PRODUCT	ACTIVATES
SA	AT2G43820	activation	True	catalysis	rx00086	PRODUCT	ACTIVATES
AT2G43840	SAG	activation	True	catalysis	rx00086	ACTIVATES	PRODUCT
AT2G43820	SAG	activation	True	catalysis	rx00086	ACTIVATES	PRODUCT
SA	SAG	activation	True	catalysis	rx00086	PRODUCT	PRODUCT
AT5G18100	ROS	activation	True	catalysis	rx00131	ACTIVATES	SUBSTRATE
AT1G12520	ROS	activation	True	catalysis	rx00131	ACTIVATES	SUBSTRATE
AT3G56350	ROS	activation	True	catalysis	rx00131	ACTIVATES	SUBSTRATE
AT1G08830	ROS	activation	True	catalysis	rx00131	ACTIVATES	SUBSTRATE
AT2G28190	ROS	activation	True	catalysis	rx00131	ACTIVATES	SUBSTRATE
O2	AT5G60010	activation	True	catalysis	rx00132	SUBSTRATE	ACTIVATES
O2	AT5G51060	activation	True	catalysis	rx00132	SUBSTRATE	ACTIVATES
O2	AT5G47910	activation	True	catalysis	rx00132	SUBSTRATE	ACTIVATES
O2	AT5G07390	activation	True	catalysis	rx00132	SUBSTRATE	ACTIVATES
O2	AT4G25090	activation	True	catalysis	rx00132	SUBSTRATE	ACTIVATES
O2	AT4G11230	activation	True	catalysis	rx00132	SUBSTRATE	ACTIVATES
O2	AT3G45810	activation	True	catalysis	rx00132	SUBSTRATE	ACTIVATES
O2	AT1G64060	activation	True	catalysis	rx00132	SUBSTRATE	ACTIVATES
O2	AT1G19230	activation	True	catalysis	rx00132	SUBSTRATE	ACTIVATES
O2	AT1G09090	activation	True	catalysis	rx00132	SUBSTRATE	ACTIVATES
AT5G60010	ROS	activation	True	catalysis	rx00132	ACTIVATES	SUBSTRATE
AT5G51060	ROS	activation	True	catalysis	rx00132	ACTIVATES	SUBSTRATE
AT5G47910	ROS	activation	True	catalysis	rx00132	ACTIVATES	SUBSTRATE
AT5G07390	ROS	activation	True	catalysis	rx00132	ACTIVATES	SUBSTRATE
AT4G25090	ROS	activation	True	catalysis	rx00132	ACTIVATES	SUBSTRATE
AT4G11230	ROS	activation	True	catalysis	rx00132	ACTIVATES	SUBSTRATE
AT3G45810	ROS	activation	True	catalysis	rx00132	ACTIVATES	SUBSTRATE
AT1G64060	ROS	activation	True	catalysis	rx00132	ACTIVATES	SUBSTRATE
AT1G19230	ROS	activation	True	catalysis	rx00132	ACTIVATES	SUBSTRATE
AT1G09090	ROS	activation	True	catalysis	rx00132	ACTIVATES	SUBSTRATE
O2	ROS	activation	True	catalysis	rx00132	SUBSTRATE	SUBSTRATE
e-	CO2-deficiency	activation	True	catalysis	rx00134	SUBSTRATE	ACTIVATES
